Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,All Day Event,Event Venue Name,Event Category,Event Website
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2026-09-29,19:00,2026-09-29,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
78th Precinct Community Council Meeting,,2026-09-29,18:30,2026-09-29,,,78th Precinct,Public Safety,https://www.nyc.gov/site/nypd/bureaus/patrol/precincts/78th-precinct.page
FAC: Introduction to Homebuying Workshop,,2026-09-29,18:00,2026-09-29,,,Fifth Avenue Committee,Civic Associations,https://fifthave.org/blog/event/introduction-to-homebuying-workshop-18/
"Gowanus Canal Conservancy: Rain Garden Stewardship, 6th Street Green Corridor","Volunteer shift caring for the rain gardens, 10 AM to 12 PM. Training and tools provided: trash pickup, invasive plant ID and weeding, pruning, curb cleaning and sweeping. No experience necessary. Ages 14 and up; younger volunteers with a parent or guardian.",2026-10-02,10:00,2026-10-02,,,"22 2nd Avenue, Gowanus",Civic Associations,https://www.eventbrite.com/e/rain-garden-stewardship-6th-st-green-corridor-tickets-1998699524080
"Applications due: SBIDC Plan for Growth, Marketing Edition","Free small business course from SBIDC and Empire State Development: 4 classes in 2 weeks to build an operational marketing blueprint, instructed by Kim Robinson of 3pts. Applications due October 9. Apply at bit.ly/PFGMARKETING.",2026-10-09,,2026-10-09,,1,SBIDC,Civic Associations,https://bit.ly/PFGMARKETING
"Gowanus Canal Conservancy: Rain Garden Stewardship, Sponge Park and Bond Gardens","Volunteer shift caring for the rain gardens, 10 AM to 12 PM. Training and tools provided: trash pickup, invasive plant ID and weeding, pruning, curb cleaning and sweeping. No experience necessary. Ages 14 and up; younger volunteers with a parent or guardian.",2026-10-09,10:00,2026-10-09,,,Gowanus Dredgers Canoe Club Boathouse,Civic Associations,https://www.eventbrite.com/e/rain-garden-stewardship-sponge-park-bond-gardens-tickets-1998802327568
CHiPS Free Monthly Food Distribution at PS 15,"Visit the CHiPS pantry van for free pantry items and fresh produce. Monthly on Fridays: 9/18, 10/16, 11/20 and 12/11. To volunteer, email volunteer@chipsonline.org. Ends 3:00 PM.",2026-10-16,13:30,2026-10-16,,,PS 15,Community,https://chipsonline.org
"Gowanus Canal Conservancy: Rain Garden Stewardship, 6th Street Green Corridor","Volunteer shift caring for the rain gardens, 10 AM to 12 PM. Training and tools provided: trash pickup, invasive plant ID and weeding, pruning, curb cleaning and sweeping. No experience necessary. Ages 14 and up; younger volunteers with a parent or guardian.",2026-10-16,10:00,2026-10-16,,,"22 2nd Avenue, Gowanus",Civic Associations,https://www.eventbrite.com/e/rain-garden-stewardship-6th-st-green-corridor-tickets-1998699526086
"Gowanus Canal Conservancy: Rain Garden Stewardship, 6th Street Green Corridor","Volunteer shift caring for the rain gardens, 10 AM to 12 PM. Training and tools provided: trash pickup, invasive plant ID and weeding, pruning, curb cleaning and sweeping. No experience necessary. Ages 14 and up; younger volunteers with a parent or guardian.",2026-10-23,10:00,2026-10-23,,,"22 2nd Avenue, Gowanus",Civic Associations,https://www.eventbrite.com/e/rain-garden-stewardship-6th-st-green-corridor-tickets-1998699527089
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2026-10-27,19:00,2026-10-27,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
78th Precinct Community Council Meeting,,2026-10-27,18:30,2026-10-27,,,78th Precinct,Public Safety,https://www.nyc.gov/site/nypd/bureaus/patrol/precincts/78th-precinct.page
🗳 Early Voting · 10AM–8PM,,2026-10-27,,2026-10-27,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
FAC: Introduction to Homebuying Workshop,,2026-10-28,18:00,2026-10-28,,,Fifth Avenue Committee,Civic Associations,https://fifthave.org/blog/event/introduction-to-homebuying-workshop-19/
🗳 Early Voting · 10AM–8PM,,2026-10-28,,2026-10-28,,1,,Elections,https://bkcb6.app/poll-finder-bk.html
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2026-11-24,19:00,2026-11-24,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
78th Precinct Community Council Meeting,,2026-11-24,18:30,2026-11-24,,,78th Precinct,Public Safety,https://www.nyc.gov/site/nypd/bureaus/patrol/precincts/78th-precinct.page
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2026-12-29,19:00,2026-12-29,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
78th Precinct Community Council Meeting,,2026-12-29,18:30,2026-12-29,,,78th Precinct,Public Safety,https://www.nyc.gov/site/nypd/bureaus/patrol/precincts/78th-precinct.page
Winter Recess — Schools Closed,,2026-12-29,,2026-12-29,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Winter Recess — Schools Closed,,2026-12-30,,2026-12-30,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Grown-Up Bike Bus,Weekly group ride from Gowanus to the Upper East Side. Thursdays 8:00 AM.,2026-12-31,08:00,2026-12-31,,,Starts at Principles GI Coffee House,Community,https://principlesbk.nyc/upcoming-events
Winter Recess — Schools Closed,,2026-12-31,,2026-12-31,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
New Year’s Day / Winter Recess — Schools Closed,,2027-01-01,,2027-01-01,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Dr. Martin Luther King Jr. Day — Schools Closed,,2027-01-18,,2027-01-18,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2027-01-26,19:00,2027-01-26,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
Midwinter Recess — Schools Closed,,2027-02-15,,2027-02-15,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Midwinter Recess — Schools Closed,,2027-02-16,,2027-02-16,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Midwinter Recess — Schools Closed,,2027-02-17,,2027-02-17,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Midwinter Recess — Schools Closed,,2027-02-18,,2027-02-18,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Midwinter Recess — Schools Closed,,2027-02-19,,2027-02-19,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2027-02-23,19:00,2027-02-23,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
Eid al-Fitr — Schools Closed,,2027-03-09,,2027-03-09,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2027-03-30,19:00,2027-03-30,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
Good Friday — Schools Closed,,2027-04-02,,2027-04-02,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-22,,2027-04-22,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-23,,2027-04-23,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-24,,2027-04-24,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-25,,2027-04-25,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-26,,2027-04-26,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Park Slope Food Coop: General Meeting,"The Coop’s monthly General Meeting, its decision-making body since 1973. Members only; every member who attends can vote. The agenda, with the location and how to attend, is posted about three weeks ahead.",2027-04-27,19:00,2027-04-27,,,See the GM agenda for the location,Food & Markets,https://www.foodcoop.com/gmagenda
Spring Recess — Schools Closed,,2027-04-27,,2027-04-27,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-28,,2027-04-28,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-29,,2027-04-29,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Spring Recess — Schools Closed,,2027-04-30,,2027-04-30,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
Eid al-Adha — Schools Closed,,2027-05-17,,2027-05-17,,1,,Schools,https://www.schools.nyc.gov/calendar/2026-2027-school-year-calendar
