areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,0.046511627906976744,0.11363636363636363,0.04081632653061224,0.0,0.05263157894736842,0.0,0.0,0.04,0.038461538461538464,0.045454545454545456,0.16,0.08695652173913043,0.043478260869565216,0.0,0.0,0.034482758620689655,0.031746031746031744,0.015384615384615385,0.02702702702702703,0.030303030303030304,0.027777777777777776,0.058823529411764705,0.05555555555555555,0.125,0.1794871794871795,0.046511627906976744,0.07692307692307693,0.13636363636363635,0.05263157894736842,0.07228915662650602,0.1,0.057692307692307696,0.07575757575757576,0.13114754098360656,0.0958904109589041,0.028169014084507043,0.10843373493975904,0.12371134020618557,0.04081632653061224,0.019230769230769232,0.034722222222222224,0.031055900621118012,0.0335195530726257,0.15555555555555556,0.07746478873239436,0.07142857142857142,0.12195121951219512,0.041044776119402986,0.05327868852459016,0.04,0.06779661016949153,0.037199124726477024,0.04938271604938271,0.05511811023622047,0.051075268817204304,0.059431524547803614,0.06976744186046512,0.07006369426751592,0.08188585607940446,0.0688836104513064,0.0855614973262032,0.06511627906976744,0.07621247113163972,0.08045977011494253,0.059665871121718374,0.07847533632286996,0.06611570247933884,0.07282913165266107,0.0772626931567329,0.10120481927710843,0.13659793814432988,0.11286089238845144,0.13178294573643412,0.13763440860215054,0.14634146341463414,0.10059171597633136,0.09533073929961089,0.12355212355212356,0.10420841683366733,0.11405295315682282,0.12698412698412698,0.1954459203036053,0.20848708487084872,0.11478260869565217,0.14382632293080055,0.10906701708278581,0.10419026047565119,0.1388888888888889,0.1382198952879581,0.14617618586640851,0.13480885311871227,0.16470588235294117,0.184070796460177,0.2336874051593323,0.24548192771084337,0.17435897435897435,0.18571428571428572,0.19448275862068964,0.15465116279069768,0.1705521472392638,0.17452830188679244,0.13567251461988303,0.14168937329700274,0.12951807228915663,0.1694915254237288,0.1858974358974359,0.18875,0.1430678466076696,0.15007012622720897,0.16204379562043797,0.17110799438990182,0.16323731138545952,0.16061452513966482,0.17587939698492464,0.10714285714285714,0.13454545454545455,0.12745098039215685,0.12653061224489795,0.16856492027334852,0.12412177985948478,0.1271551724137931,0.11764705882352941,0.13043478260869565,0.14195583596214512,0.13644859813084112,0.14923469387755103,0.19775739041794088,0.20018115942028986,0.1961301671064204,0.1802366040361865,0.16653696498054474,0.15058823529411763,0.1554591467823572,0.14988104678826328,0.13480885311871227,0.1210727969348659,0.10501193317422435,0.134765625,0.08068181818181819,0.10480887792848335,0.0886426592797784,0.08848314606741572,0.10962962962962963,0.05989110707803993,0.07429718875502007,0.07021276595744681,0.06609808102345416,0.056790123456790124,0.0679886685552408,0.05378973105134474,0.049479166666666664,0.1145374449339207,0.12807881773399016,0.11637931034482758,0.14317180616740088,0.12814645308924486,0.11036036036036036,0.07954545454545454,0.10429447852760736,0.05783132530120482,0.07211538461538461,0.09112709832134293,0.1095890410958904,0.1201923076923077,0.15195071868583163,0.17227722772277226,0.17714285714285713,0.09846827133479212,0.12156862745098039,0.1280148423005566,0.14427860696517414,0.10220125786163523,0.12374581939799331,0.14710743801652892,0.12748344370860928,0.1261595547309833,0.1234991423670669,0.15396113602391628,0.145,0.10905730129390019,0.13827993254637436,0.13,0.14102564102564102,0.11239669421487604,0.11009174311926606,0.11275415896487985,0.11222444889779559,0.1485148514851485,0.19099099099099098,0.13666666666666666,0.11764705882352941,0.10042735042735043,0.07283464566929133,0.12708333333333333,0.10943396226415095,0.125,0.088659793814433,0.13257575757575757,0.0888468809073724,0.13073394495412843
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.125,0.0,0.1111111111111111,0.6666666666666666,0.0,0.0,0.2,0.0,0.16666666666666666,0.0,0.25,0.0,0.16666666666666666,0.1,0.14285714285714285,0.125,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4,0.0,0.0,0.5,0.14285714285714285,0.0,0.0,0.5,0.2857142857142857,0.07692307692307693,0.4,0.3333333333333333,0.0,0.25,0.14285714285714285,0.2,0.2222222222222222,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.2,0.1111111111111111,0.2857142857142857,0.14285714285714285,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.5,0.2,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,0.4,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,,,,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.2,0.0
Bath Beach,Brooklyn,neighborhood,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.2,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.375,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.125,0.375,0.2222222222222222,0.0,0.0,0.1,0.07142857142857142,0.0,0.4,0.2222222222222222,0.25,0.0,0.0,0.18181818181818182,0.0,0.1111111111111111,0.0,0.1875,0.16666666666666666,0.0,0.07407407407407407,0.05405405405405406,0.08695652173913043,0.05555555555555555,0.06666666666666667,0.0,0.05714285714285714,0.1388888888888889,0.23684210526315788,0.07894736842105263,0.10344827586206896,0.047619047619047616,0.058823529411764705,0.0,0.0,0.05263157894736842,0.0,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.0,0.0,0.2,0.16666666666666666,0.08333333333333333,0.15789473684210525,0.05,0.09090909090909091,0.06976744186046512,0.02564102564102564,0.05263157894736842,0.04,0.125,0.0,0.1111111111111111,0.05,0.045454545454545456,0.0,0.09090909090909091,0.043478260869565216,0.0,0.0,0.15789473684210525,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08333333333333333,0.1111111111111111,0.0,0.09090909090909091,0.14285714285714285,0.125,0.16666666666666666,0.0,0.0,0.1,0.0625,0.07142857142857142,0.16666666666666666,0.0,0.125,0.18181818181818182,0.14285714285714285,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.0
Battery Park City,Manhattan,neighborhood,0.12222222222222222,0.023529411764705882,0.0891089108910891,0.0898876404494382,0.022727272727272728,0.043478260869565216,0.06521739130434782,0.12612612612612611,0.1,0.06481481481481481,0.08695652173913043,0.12745098039215685,0.10714285714285714,0.08,0.18518518518518517,0.1,0.0784313725490196,0.12307692307692308,0.08547008547008547,0.224,0.19166666666666668,0.16,0.2265625,0.17355371900826447,0.2624113475177305,0.1323529411764706,0.13194444444444445,0.1,0.14492753623188406,0.09722222222222222,0.08695652173913043,0.0916030534351145,0.15789473684210525,0.10810810810810811,0.13793103448275862,0.20952380952380953,0.1773049645390071,0.13725490196078433,0.15976331360946747,0.18787878787878787,0.10843373493975904,0.1566265060240964,0.08974358974358974,0.09392265193370165,0.12422360248447205,0.13496932515337423,0.15625,0.15894039735099338,0.15286624203821655,0.13013698630136986,0.07746478873239436,0.029411764705882353,0.06382978723404255,0.09090909090909091,0.12096774193548387,0.10071942446043165,0.10743801652892562,0.17557251908396945,0.11643835616438356,0.1276595744680851,0.15037593984962405,0.17692307692307693,0.15602836879432624,0.1865671641791045,0.1171875,0.21212121212121213,0.16793893129770993,0.24,0.15,0.2647058823529412,0.24299065420560748,0.2621359223300971,0.2545454545454545,0.24369747899159663,0.17355371900826447,0.11818181818181818,0.11538461538461539,0.16822429906542055,0.19166666666666668,0.140625,0.16346153846153846,0.272,0.25,0.15,0.14728682170542637,0.24242424242424243,0.145985401459854,0.1693548387096774,0.22123893805309736,0.13513513513513514,0.21,0.27522935779816515,0.11827956989247312,0.3058823529411765,0.26595744680851063,0.2616822429906542,0.3137254901960784,0.21875,0.17592592592592593,0.12745098039215685,0.07865168539325842,0.08045977011494253,0.1836734693877551,0.28865979381443296,0.2222222222222222,0.24050632911392406,0.2073170731707317,0.2857142857142857,0.19047619047619047,0.16853932584269662,0.2767857142857143,0.24778761061946902,0.23893805309734514,0.21296296296296297,0.20481927710843373,0.22093023255813954,0.19753086419753085,0.14444444444444443,0.17307692307692307,0.2653061224489796,0.1917808219178082,0.13043478260869565,0.17391304347826086,0.22950819672131148,0.1782178217821782,0.1016949152542373,0.2578616352201258,0.34782608695652173,0.26285714285714284,0.2215909090909091,0.26881720430107525,0.12994350282485875,0.2802197802197802,0.1329479768786127,0.13966480446927373,0.12352941176470589,0.0379746835443038,0.061946902654867256,0.1111111111111111,0.22950819672131148,0.2857142857142857,0.2222222222222222,0.225,0.2,0.16279069767441862,0.2926829268292683,0.05555555555555555,0.12,0.16666666666666666,0.046875,0.15873015873015872,0.23214285714285715,0.3548387096774194,0.2804878048780488,0.21978021978021978,0.23684210526315788,0.2777777777777778,0.18867924528301888,0.2631578947368421,0.24242424242424243,0.14634146341463414,0.29411764705882354,0.2268041237113402,0.25742574257425743,0.38461538461538464,0.3875,0.37209302325581395,0.36363636363636365,0.4117647058823529,0.29591836734693877,0.030612244897959183,0.19444444444444445,0.225,0.3050847457627119,0.2916666666666667,0.26229508196721313,0.38333333333333336,0.40298507462686567,0.5925925925925926,0.42045454545454547,0.4444444444444444,0.5,0.41379310344827586,0.08256880733944955,0.05747126436781609,0.3953488372093023,0.4418604651162791,0.05555555555555555,0.46153846153846156,0.43157894736842106,0.4111111111111111,0.08333333333333333,0.08571428571428572,0.0547945205479452,0.3373493975903614,0.09090909090909091,0.04950495049504951,0.2222222222222222,0.41836734693877553,0.38235294117647056
Bay Ridge,Brooklyn,neighborhood,0.125,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.0625,0.15384615384615385,0.0,0.16666666666666666,0.0,0.1,0.0,0.08333333333333333,0.14285714285714285,0.05263157894736842,0.0625,0.0,0.0,0.045454545454545456,0.1111111111111111,0.05263157894736842,0.11764705882352941,0.14285714285714285,0.0,0.0,0.125,0.15384615384615385,0.1111111111111111,0.16666666666666666,0.23529411764705882,0.05555555555555555,0.14285714285714285,0.07692307692307693,0.07692307692307693,0.1111111111111111,0.125,0.0,0.0,0.1111111111111111,0.0,0.08333333333333333,0.04,0.10714285714285714,0.02702702702702703,0.075,0.028037383177570093,0.006896551724137931,0.026845637583892617,0.0091324200913242,0.003663003663003663,0.016194331983805668,0.00966183574879227,0.09090909090909091,0.05357142857142857,0.015873015873015872,0.012345679012345678,0.05263157894736842,0.017543859649122806,0.048,0.03508771929824561,0.0234375,0.03508771929824561,0.034782608695652174,0.07142857142857142,0.03676470588235294,0.03669724770642202,0.06896551724137931,0.033783783783783786,0.1092436974789916,0.09243697478991597,0.07894736842105263,0.15,0.09174311926605505,0.10227272727272728,0.07692307692307693,0.041666666666666664,0.07058823529411765,0.022222222222222223,0.07954545454545454,0.1134020618556701,0.15584415584415584,0.125,0.09302325581395349,0.12162162162162163,0.07758620689655173,0.13709677419354838,0.06896551724137931,0.11650485436893204,0.11382113821138211,0.13653136531365315,0.10080645161290322,0.11688311688311688,0.15436241610738255,0.17857142857142858,0.13333333333333333,0.14685314685314685,0.1125,0.1437125748502994,0.12834224598930483,0.0962566844919786,0.08520179372197309,0.11067193675889328,0.10780669144981413,0.11255411255411256,0.11274509803921569,0.11578947368421053,0.1329479768786127,0.09392265193370165,0.13551401869158877,0.12299465240641712,0.07894736842105263,0.107981220657277,0.1308016877637131,0.11206896551724138,0.11842105263157894,0.11594202898550725,0.17,0.14893617021276595,0.13986013986013987,0.1366906474820144,0.1388888888888889,0.13761467889908258,0.16470588235294117,0.02,0.09782608695652174,0.1276595744680851,0.08759124087591241,0.14207650273224043,0.22388059701492538,0.20161290322580644,0.16455696202531644,0.09569377990430622,0.12556053811659193,0.1864406779661017,0.15037593984962405,0.07782101167315175,0.06589147286821706,0.07971014492753623,0.07725321888412018,0.11055276381909548,0.045714285714285714,0.10837438423645321,0.09473684210526316,0.1111111111111111,0.0975609756097561,0.06338028169014084,0.09036144578313253,0.07936507936507936,0.06329113924050633,0.041666666666666664,0.022222222222222223,0.03333333333333333,0.09278350515463918,0.09482758620689655,0.09243697478991597,0.16326530612244897,0.07291666666666667,0.10126582278481013,0.10869565217391304,0.08333333333333333,0.0851063829787234,0.10377358490566038,0.09523809523809523,0.09090909090909091,0.12903225806451613,0.15853658536585366,0.10126582278481013,0.14473684210526316,0.12389380530973451,0.1511627906976744,0.1523809523809524,0.1111111111111111,0.16326530612244897,0.11904761904761904,0.1958762886597938,0.10752688172043011,0.17333333333333334,0.1134020618556701,0.1326530612244898,0.12087912087912088,0.12631578947368421,0.12345679012345678,0.1388888888888889,0.06956521739130435,0.13846153846153847,0.06930693069306931,0.05194805194805195,0.07042253521126761,0.1125,0.07692307692307693,0.08955223880597014,0.18333333333333332,0.08450704225352113,0.13513513513513514,0.10526315789473684,0.0875,0.10606060606060606,0.09230769230769231,0.10344827586206896,0.05357142857142857
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,0.25,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.0,0.1111111111111111,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.07142857142857142,0.07142857142857142,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.11764705882352941,0.15789473684210525,0.14285714285714285,0.2,0.3333333333333333,0.125,0.0,0.3333333333333333,0.1,0.2222222222222222,0.25,0.2,0.1,0.2857142857142857,0.2,0.16666666666666666,0.0,0.2,0.2222222222222222,0.10526315789473684,0.17647058823529413,0.0,0.16666666666666666,0.0,0.07692307692307693,0.058823529411764705,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.09090909090909091,0.08695652173913043,0.16666666666666666,0.0,0.0,0.0,0.06666666666666667,0.18181818181818182,0.0625,0.0,0.3125,0.19047619047619047,0.041666666666666664,0.13333333333333333,0.25,0.21052631578947367,0.08,0.10526315789473684,0.047619047619047616,0.08333333333333333,0.06666666666666667,0.07142857142857142,0.08333333333333333,0.29411764705882354,0.26666666666666666,0.0,0.0,0.3181818181818182,0.11764705882352941,0.0,0.07692307692307693,0.06666666666666667,0.058823529411764705,0.0,0.08333333333333333,0.0,0.26666666666666666,0.2,0.23076923076923078,0.1,0.07692307692307693,0.0,0.09090909090909091,0.21428571428571427,0.1,0.16666666666666666,0.3333333333333333,0.21428571428571427,0.0,0.0,0.06666666666666667,0.058823529411764705,0.2222222222222222,0.15789473684210525,0.09090909090909091,0.1,0.25,0.2727272727272727,0.14285714285714285,0.11764705882352941,0.25,0.4,0.06666666666666667,0.07692307692307693,0.09090909090909091,0.3,0.3333333333333333,0.25,0.09090909090909091,0.09090909090909091,0.125,0.18181818181818182,0.0,0.25,0.09090909090909091,0.125,0.13333333333333333,0.2,0.1111111111111111,0.2916666666666667,0.125,0.16666666666666666
Bedford Park,Bronx,neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2222222222222222,0.0,0.25,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.024390243902439025,0.07142857142857142,0.10638297872340426,0.11764705882352941,0.05128205128205128,0.03225806451612903,0.13793103448275862,0.06896551724137931,0.05,0.0,0.1111111111111111,0.15384615384615385,0.07692307692307693,0.058823529411764705,0.11764705882352941,0.0625,0.2,0.0,0.07142857142857142,0.15789473684210525,0.04,0.11538461538461539,0.045454545454545456,0.058823529411764705,0.0,0.0,0.047619047619047616,0.06666666666666667,0.125,0.0,0.041666666666666664,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4,0.1111111111111111,0.15384615384615385,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.1111111111111111,0.07142857142857142,0.15384615384615385,0.0,0.3333333333333333,0.0,0.125,0.0,0.0,0.0,0.07692307692307693,0.0,0.1111111111111111,0.18181818181818182,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.1111111111111111,0.0,0.125,0.0,0.0,0.0,0.125,0.05555555555555555,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.42857142857142855,0.2,0.0,0.0,0.13333333333333333,0.14285714285714285,0.2,0.0,0.125,0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.07692307692307693,0.0625,0.06666666666666667,0.0,0.1111111111111111,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.08333333333333333,0.07142857142857142,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0
Bedford-Stuyvesant,Brooklyn,neighborhood,0.175,0.12903225806451613,0.14814814814814814,0.125,0.14285714285714285,0.07142857142857142,0.12121212121212122,0.13333333333333333,0.11363636363636363,0.018867924528301886,0.0425531914893617,0.05405405405405406,0.125,0.061224489795918366,0.1111111111111111,0.0196078431372549,0.08333333333333333,0.022727272727272728,0.09803921568627451,0.03389830508474576,0.0784313725490196,0.08695652173913043,0.10869565217391304,0.0196078431372549,0.125,0.16176470588235295,0.12,0.11904761904761904,0.1509433962264151,0.22641509433962265,0.13333333333333333,0.08695652173913043,0.08771929824561403,0.12962962962962962,0.022727272727272728,0.03389830508474576,0.07547169811320754,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1951219512195122,0.1095890410958904,0.1375,0.1836734693877551,0.10526315789473684,0.1827956989247312,0.14606741573033707,0.07,0.14,0.1348314606741573,0.07462686567164178,0.1390728476821192,0.16551724137931034,0.18421052631578946,0.11170212765957446,0.08955223880597014,0.19072164948453607,0.1917808219178082,0.18930041152263374,0.10407239819004525,0.13924050632911392,0.09665427509293681,0.07692307692307693,0.12093023255813953,0.12121212121212122,0.11849710982658959,0.09090909090909091,0.1122715404699739,0.08408408408408409,0.17228464419475656,0.1685823754789272,0.14349775784753363,0.09170305676855896,0.13278008298755187,0.15699658703071673,0.15719063545150502,0.15064102564102563,0.18361581920903955,0.17086834733893558,0.16580310880829016,0.2,0.21656050955414013,0.246875,0.18892508143322476,0.20054945054945056,0.18719211822660098,0.20463320463320464,0.15833333333333333,0.1519230769230769,0.18095238095238095,0.14311926605504588,0.1676300578034682,0.22549019607843138,0.20353982300884957,0.18867924528301888,0.17699115044247787,0.14327485380116958,0.17559523809523808,0.18911174785100288,0.13648293963254593,0.14925373134328357,0.14423076923076922,0.16153846153846155,0.15789473684210525,0.20430107526881722,0.21626617375231053,0.18126272912423624,0.1240506329113924,0.15192743764172337,0.1614457831325301,0.1366906474820144,0.16363636363636364,0.19315403422982885,0.16481069042316257,0.14989293361884368,0.1488833746898263,0.20063694267515925,0.16785714285714284,0.140625,0.14901960784313725,0.13533834586466165,0.15355805243445692,0.12025316455696203,0.11153846153846154,0.22172949002217296,0.22593320235756384,0.24247226624405704,0.26346433770014555,0.2746585735963581,0.23788546255506607,0.20592592592592593,0.17425431711145997,0.17182662538699692,0.13541666666666666,0.1589825119236884,0.11867088607594936,0.10641399416909621,0.10851419031719532,0.09712230215827339,0.10514541387024609,0.07357859531772576,0.08333333333333333,0.09206349206349207,0.10839160839160839,0.11740890688259109,0.11158798283261803,0.11726384364820847,0.1115702479338843,0.102803738317757,0.12732919254658384,0.14958448753462603,0.1,0.16348773841961853,0.2116788321167883,0.24705882352941178,0.13733905579399142,0.15057915057915058,0.1916376306620209,0.17647058823529413,0.12624584717607973,0.1246376811594203,0.1273209549071618,0.1736842105263158,0.18527918781725888,0.16981132075471697,0.1875,0.1732283464566929,0.12462006079027356,0.14285714285714285,0.13609467455621302,0.164021164021164,0.06806282722513089,0.15186915887850466,0.15606936416184972,0.178,0.175054704595186,0.19362186788154898,0.19491525423728814,0.1554054054054054,0.17415730337078653,0.13316582914572864,0.15625,0.12,0.10455764075067024,0.11991434689507495,0.145610278372591,0.13580246913580246,0.1459227467811159,0.16859122401847576,0.14320987654320988,0.0893854748603352,0.0955223880597015,0.0962566844919786,0.09705882352941177,0.10978520286396182,0.078125,0.11917098445595854,0.12949640287769784,0.08430913348946135,0.1319910514541387
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,1.0,0.0,0.5,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.5,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.5,,,,1.0,1.0,,,0.0,0.0,,
