areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,0.18181818181818182,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0625,0.14285714285714285,0.0625,0.1875,0.08333333333333333,0.1111111111111111,0.1,0.13333333333333333,0.15789473684210525,0.14285714285714285,0.0,0.10526315789473684,0.06666666666666667,0.2,0.1,0.0,0.0,0.038461538461538464,0.06896551724137931,0.030303030303030304,0.0,0.08333333333333333,0.02564102564102564,0.030303030303030304,0.01098901098901099,0.027777777777777776,0.14,0.07142857142857142,0.07142857142857142,0.05405405405405406,0.11538461538461539,0.04081632653061224,0.07142857142857142,0.014705882352941176,0.13559322033898305,0.0,0.078125,0.05084745762711865,0.037037037037037035,0.1896551724137931,0.023809523809523808,0.02040816326530612,0.17391304347826086,0.0,0.075,0.21052631578947367,0.0847457627118644,0.05660377358490566,0.041666666666666664,0.04081632653061224,0.05555555555555555,0.2028985507246377,0.1111111111111111,0.15,0.1782178217821782,0.11494252873563218,0.13095238095238096,0.08163265306122448,0.072,0.13821138211382114,0.08029197080291971,0.07142857142857142,0.10569105691056911,0.16666666666666666,0.18823529411764706,0.1978021978021978,0.125,0.18571428571428572,0.10526315789473684,0.10294117647058823,0.16666666666666666,0.1111111111111111,0.13580246913580246,0.11643835616438356,0.13559322033898305,0.1693548387096774,0.14035087719298245,0.19230769230769232,0.2,0.12,0.23529411764705882,0.09821428571428571,0.09929078014184398,0.04716981132075472,0.1348314606741573,0.09876543209876543,0.10317460317460317,0.05747126436781609,0.09090909090909091,0.1509433962264151,0.1728395061728395,0.21428571428571427,0.14864864864864866,0.10588235294117647,0.189873417721519,0.17391304347826086,0.2,0.19014084507042253,0.15568862275449102,0.15025906735751296,0.18518518518518517,0.236,0.2543859649122807,0.1618705035971223,0.14423076923076922,0.12406015037593984,0.15441176470588236,0.1095890410958904,0.14130434782608695,0.11827956989247312,0.09375,0.10948905109489052,0.056910569105691054,0.07964601769911504,0.06306306306306306,0.09523809523809523,0.047619047619047616,0.08571428571428572,0.02666666666666667,0.04477611940298507,0.08450704225352113,0.03636363636363636,0.013513513513513514,0.030303030303030304,0.06153846153846154,0.06896551724137931,0.12987012987012986,0.05357142857142857,0.058823529411764705,0.03225806451612903,0.05063291139240506,0.14814814814814814,0.08695652173913043,0.10869565217391304,0.08536585365853659,0.1038961038961039,0.1797752808988764,0.25,0.07352941176470588,0.1323529411764706,0.1348314606741573,0.15151515151515152,0.18181818181818182,0.10344827586206896,0.14049586776859505,0.06422018348623854,0.05555555555555555,0.038834951456310676,0.15151515151515152,0.13934426229508196,0.09523809523809523,0.08247422680412371,0.096,0.06382978723404255,0.13861386138613863,0.04597701149425287,0.1346153846153846,0.08235294117647059,0.07526881720430108,0.08974358974358974,0.15053763440860216,0.109375,0.0970873786407767,0.11627906976744186,0.07462686567164178,0.08139534883720931,0.06521739130434782,0.1111111111111111,0.047058823529411764,0.0970873786407767,0.030303030303030304,0.07216494845360824
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,,,,0.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.25,0.0,0.14285714285714285,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0
Bath Beach,Brooklyn,neighborhood,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.2,0.3333333333333333,0.3333333333333333,0.25,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.125,0.2,0.0,0.14285714285714285
Battery Park City,Manhattan,neighborhood,0.18181818181818182,0.09090909090909091,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.1,0.1935483870967742,0.09375,0.037037037037037035,0.0,0.0,0.21428571428571427,0.0,0.0,0.1111111111111111,0.0,0.09090909090909091,0.08333333333333333,0.0,0.25,0.29411764705882354,0.18181818181818182,0.25,0.0,0.13333333333333333,0.11764705882352941,0.15,0.2222222222222222,0.18518518518518517,0.09090909090909091,0.22727272727272727,0.125,0.11764705882352941,0.16666666666666666,0.0,0.11764705882352941,0.13636363636363635,0.16666666666666666,0.1935483870967742,0.06060606060606061,0.058823529411764705,0.09375,0.058823529411764705,0.125,0.15384615384615385,0.2,0.13793103448275862,0.15625,0.13793103448275862,0.23076923076923078,0.18518518518518517,0.028985507246376812,0.03361344537815126,0.05405405405405406,0.0851063829787234,0.06060606060606061,0.09090909090909091,0.2413793103448276,0.20833333333333334,0.02702702702702703,0.21052631578947367,0.0967741935483871,0.3181818181818182,0.2631578947368421,0.09302325581395349,0.25,0.25806451612903225,0.23684210526315788,0.14814814814814814,0.3,0.15,0.3157894736842105,0.4583333333333333,0.3448275862068966,0.2,0.21428571428571427,0.19444444444444445,0.24324324324324326,0.30303030303030304,0.10344827586206896,0.04,0.35714285714285715,0.23333333333333334,0.14285714285714285,0.18518518518518517,0.2857142857142857,0.3225806451612903,0.20588235294117646,0.21428571428571427,0.4482758620689655,0.2647058823529412,0.18181818181818182,0.3,0.36666666666666664,0.48484848484848486,0.3235294117647059,0.23076923076923078,0.36363636363636365,0.34615384615384615,0.15,0.18181818181818182,0.11764705882352941,0.3333333333333333,0.125,0.30434782608695654,0.2857142857142857,0.45454545454545453,0.5925925925925926,0.32,0.3181818181818182,0.3,0.3,0.2727272727272727,0.058823529411764705,0.3,0.25925925925925924,0.22727272727272727,0.2777777777777778,0.375,0.391304347826087,0.2727272727272727,0.2727272727272727,0.38461538461538464,0.3333333333333333,0.25,0.37142857142857144,0.23728813559322035,0.34615384615384615,0.32142857142857145,0.515625,0.4,0.3877551020408163,0.22727272727272727,0.18421052631578946,0.3695652173913043,0.19047619047619047,0.22857142857142856,0.11764705882352941,0.045454545454545456,0.06666666666666667,0.4117647058823529,0.3684210526315789,0.3333333333333333,0.36363636363636365,0.6666666666666666,0.08333333333333333,0.42105263157894735,0.10526315789473684,0.0,0.0,0.2222222222222222,0.0,0.6,0.5263157894736842,0.5454545454545454,0.29411764705882354,0.2,0.3125,0.12,0.45,0.10526315789473684,0.21739130434782608,0.4583333333333333,0.5142857142857142,0.1,0.47619047619047616,0.6666666666666666,0.4482758620689655,0.34375,0.125,0.17647058823529413,0.5172413793103449,0.4,0.4722222222222222,0.6363636363636364,0.4666666666666667,0.5833333333333334,0.4166666666666667,0.7096774193548387,0.7857142857142857,0.5,0.23333333333333334,0.6666666666666666,0.5853658536585366,0.23529411764705882,0.68,0.6410256410256411,0.19444444444444445,0.4722222222222222,0.11764705882352941,0.7,0.7272727272727273,0.07692307692307693,0.36363636363636365,0.52,0.5483870967741935,0.10344827586206896,0.03333333333333333,0.6,0.36363636363636365
Bay Ridge,Brooklyn,neighborhood,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.125,0.0,0.0,0.1111111111111111,0.0,0.0,0.0625,0.0,0.0,0.0,0.08333333333333333,0.047619047619047616,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.047619047619047616,0.05,0.0,0.06666666666666667,0.02857142857142857,0.0,0.0,0.0,0.08695652173913043,0.08333333333333333,0.0,0.21428571428571427,0.1111111111111111,0.09090909090909091,0.0,0.06666666666666667,0.1875,0.0625,0.0,0.0,0.08333333333333333,0.05,0.0,0.15,0.09090909090909091,0.1590909090909091,0.025,0.027777777777777776,0.11904761904761904,0.0975609756097561,0.08333333333333333,0.13636363636363635,0.125,0.06382978723404255,0.17073170731707318,0.05555555555555555,0.10869565217391304,0.14754098360655737,0.08064516129032258,0.06153846153846154,0.12903225806451613,0.02702702702702703,0.0196078431372549,0.05714285714285714,0.06896551724137931,0.13513513513513514,0.07407407407407407,0.043478260869565216,0.10638297872340426,0.07317073170731707,0.06896551724137931,0.12280701754385964,0.1568627450980392,0.09302325581395349,0.05660377358490566,0.14705882352941177,0.05405405405405406,0.05128205128205128,0.03225806451612903,0.16216216216216217,0.0967741935483871,0.09090909090909091,0.0,0.058823529411764705,0.05263157894736842,0.12244897959183673,0.04,0.2222222222222222,0.12962962962962962,0.16666666666666666,0.16666666666666666,0.12727272727272726,0.08955223880597014,0.10909090909090909,0.1016949152542373,0.07692307692307693,0.06382978723404255,0.1,0.08928571428571429,0.06896551724137931,0.109375,0.08196721311475409,0.05555555555555555,0.14583333333333334,0.13953488372093023,0.1,0.0,0.041666666666666664,0.0,0.11428571428571428,0.0,0.15,0.022222222222222223,0.06818181818181818,0.14285714285714285,0.13043478260869565,0.06060606060606061,0.25,0.043478260869565216,0.07407407407407407,0.07142857142857142,0.13333333333333333,0.07142857142857142,0.12121212121212122,0.10714285714285714,0.2,0.20689655172413793,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.26666666666666666,0.125,0.05714285714285714,0.06666666666666667,0.17391304347826086,0.058823529411764705,0.0,0.0,0.0625,0.15789473684210525,0.09090909090909091,0.1111111111111111,0.1,0.15789473684210525,0.08333333333333333,0.058823529411764705,0.05263157894736842,0.10714285714285714,0.10714285714285714,0.05,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.06666666666666667,0.058823529411764705
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.25,0.3333333333333333,0.0,0.0,,0.0,0.5,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5,0.4,0.0,0.3333333333333333,0.14285714285714285,0.2,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.25,0.1111111111111111,0.125,0.0,0.0,1.0,0.0,0.5,0.0,0.25,0.5,0.0,0.42857142857142855,0.125,0.0,0.14285714285714285,0.0,0.0,0.375,0.0,0.16666666666666666,1.0,0.25,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0
Bedford Park,Bronx,neighborhood,,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.058823529411764705,0.16666666666666666,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.0,0.0,0.4,0.0,0.1,0.125,0.0,0.0,0.1111111111111111,0.09090909090909091,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1.0,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Bedford-Stuyvesant,Brooklyn,neighborhood,0.16666666666666666,0.0,0.25,0.0,0.0,0.09090909090909091,0.08333333333333333,0.2,0.125,0.125,0.0,0.0,0.2857142857142857,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.125,0.08333333333333333,0.16666666666666666,0.09090909090909091,0.14285714285714285,0.3076923076923077,0.08333333333333333,0.1111111111111111,0.3333333333333333,0.08333333333333333,0.0,0.25,0.07692307692307693,0.1875,0.18181818181818182,0.08333333333333333,0.058823529411764705,0.05263157894736842,0.09523809523809523,0.05263157894736842,0.2,0.09523809523809523,0.0,0.05263157894736842,0.0,0.16666666666666666,0.0,0.05,0.08,0.13043478260869565,0.0,0.02702702702702703,0.0,0.05,0.1794871794871795,0.12244897959183673,0.18604651162790697,0.05,0.14545454545454545,0.08333333333333333,0.015151515151515152,0.11290322580645161,0.109375,0.09615384615384616,0.078125,0.05263157894736842,0.10606060606060606,0.11594202898550725,0.18518518518518517,0.14893617021276595,0.1568627450980392,0.13043478260869565,0.13043478260869565,0.125,0.23529411764705882,0.08928571428571429,0.2361111111111111,0.08536585365853659,0.13414634146341464,0.22988505747126436,0.13580246913580246,0.1694915254237288,0.11864406779661017,0.14285714285714285,0.1827956989247312,0.12,0.15555555555555556,0.14150943396226415,0.13333333333333333,0.09473684210526316,0.11475409836065574,0.11764705882352941,0.1891891891891892,0.08695652173913043,0.11594202898550725,0.2641509433962264,0.1044776119402985,0.2222222222222222,0.06862745098039216,0.09302325581395349,0.09782608695652174,0.14516129032258066,0.11267605633802817,0.14285714285714285,0.09836065573770492,0.12121212121212122,0.1574074074074074,0.05154639175257732,0.21495327102803738,0.16176470588235295,0.0641025641025641,0.1485148514851485,0.09734513274336283,0.15315315315315314,0.1,0.14432989690721648,0.2,0.075,0.05333333333333334,0.06666666666666667,0.1125,0.125,0.14814814814814814,0.1590909090909091,0.1919191919191919,0.17721518987341772,0.19574468085106383,0.17475728155339806,0.2956989247311828,0.22413793103448276,0.16201117318435754,0.12727272727272726,0.10810810810810811,0.104,0.1484375,0.09580838323353294,0.1524390243902439,0.0872093023255814,0.08695652173913043,0.09482758620689655,0.07865168539325842,0.07246376811594203,0.15789473684210525,0.11320754716981132,0.09302325581395349,0.10256410256410256,0.140625,0.12727272727272726,0.0963855421686747,0.1111111111111111,0.20388349514563106,0.12087912087912088,0.14583333333333334,0.1368421052631579,0.14285714285714285,0.18309859154929578,0.13636363636363635,0.14634146341463414,0.19801980198019803,0.08653846153846154,0.21367521367521367,0.12871287128712872,0.14563106796116504,0.11214953271028037,0.12962962962962962,0.1651376146788991,0.25,0.1625,0.19491525423728814,0.11764705882352941,0.13541666666666666,0.15555555555555556,0.1328125,0.20567375886524822,0.11347517730496454,0.15384615384615385,0.1337579617834395,0.15714285714285714,0.16037735849056603,0.23863636363636365,0.13414634146341464,0.13580246913580246,0.08461538461538462,0.06862745098039216,0.09090909090909091,0.14285714285714285,0.15060240963855423,0.24,0.22602739726027396,0.13157894736842105,0.1504424778761062,0.08333333333333333,0.09821428571428571,0.03333333333333333,0.12096774193548387,0.0707070707070707,0.10112359550561797,0.13253012048192772,0.0673076923076923,0.05555555555555555
Bellerose,Queens,neighborhood,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,0.5,,,,,,,,1.0,,,,,,0.4,0.0,,,,0.3333333333333333,0.3333333333333333,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.5,,,,,
