areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,0.16666666666666666,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.125,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.06666666666666667,0.0,0.14285714285714285,0.10526315789473684,0.1111111111111111,0.0,0.14285714285714285,0.14285714285714285,0.125,0.0,0.11764705882352941,0.1111111111111111,0.1724137931034483,0.18181818181818182,0.08333333333333333,0.10204081632653061,0.08955223880597014,0.018518518518518517,0.018518518518518517,0.06818181818181818,0.12244897959183673,0.0821917808219178,0.043010752688172046,0.041237113402061855,0.017241379310344827,0.10077519379844961,0.05660377358490566,0.05555555555555555,0.04017857142857143,0.03225806451612903,0.0078125,0.040983606557377046,0.08571428571428572,0.06293706293706294,0.10599078341013825,0.04782608695652174,0.04093567251461988,0.0625,0.08823529411764706,0.0695970695970696,0.03235294117647059,0.05806451612903226,0.057034220532319393,0.07291666666666667,0.09395973154362416,0.15384615384615385,0.14754098360655737,0.15602836879432624,0.0821917808219178,0.2,0.19230769230769232,0.1691542288557214,0.1145374449339207,0.12,0.1141732283464567,0.1839080459770115,0.15613382899628253,0.13793103448275862,0.20187793427230047,0.14347826086956522,0.14802631578947367,0.11799410029498525,0.14864864864864866,0.1906005221932115,0.14645308924485126,0.16563146997929606,0.1722689075630252,0.16785714285714284,0.23272727272727273,0.25572519083969464,0.18773946360153257,0.1708542713567839,0.22009569377990432,0.17813765182186234,0.21348314606741572,0.1950354609929078,0.207492795389049,0.23036649214659685,0.15675675675675677,0.18042813455657492,0.22033898305084745,0.2727272727272727,0.15508021390374332,0.1534090909090909,0.25961538461538464,0.20614035087719298,0.25193798449612403,0.18275862068965518,0.19875776397515527,0.21726190476190477,0.15159574468085107,0.19117647058823528,0.22666666666666666,0.20909090909090908,0.1813186813186813,0.2236842105263158,0.1839080459770115,0.16111111111111112,0.19047619047619047,0.12,0.21674876847290642,0.2066115702479339,0.23060344827586207,0.23376623376623376,0.2605932203389831,0.2174757281553398,0.18695652173913044,0.16203703703703703,0.14989293361884368,0.18947368421052632,0.1271393643031785,0.13872832369942195,0.14473684210526316,0.15567282321899736,0.10759493670886076,0.15306122448979592,0.1423728813559322,0.13138686131386862,0.12307692307692308,0.16595744680851063,0.11483253588516747,0.1638418079096045,0.14814814814814814,0.1092896174863388,0.07333333333333333,0.12280701754385964,0.07751937984496124,0.10526315789473684,0.27044025157232704,0.23125,0.23214285714285715,0.13636363636363635,0.1641025641025641,0.16541353383458646,0.14210526315789473,0.12941176470588237,0.15311004784688995,0.17209302325581396,0.14173228346456693,0.17543859649122806,0.18396226415094338,0.27413127413127414,0.1678832116788321,0.15425531914893617,0.15204678362573099,0.14948453608247422,0.18222222222222223,0.19282511210762332,0.11627906976744186,0.19915254237288135,0.14901960784313725,0.16062176165803108,0.1793478260869565,0.2107843137254902,0.21428571428571427,0.17532467532467533,0.16774193548387098,0.21621621621621623,0.15894039735099338,0.14457831325301204,0.12280701754385964,0.1518324607329843,0.22274881516587677,0.17647058823529413,0.17613636363636365,0.22695035460992907,0.18796992481203006,0.22123893805309736,0.15748031496062992,0.14285714285714285,0.1595744680851064,0.1308411214953271,0.06306306306306306,0.09523809523809523,0.10734463276836158,0.08771929824561403
Auburndale,Queens,neighborhood,0.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.5,,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.4,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.25,0.0,0.0,0.14285714285714285,0.2,0.4,0.42857142857142855,0.0,0.0,0.6,0.16666666666666666,0.1,0.0,0.1111111111111111,0.07142857142857142,0.1111111111111111,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.1111111111111111,0.0,0.3333333333333333,0.0,0.09090909090909091,0.3333333333333333,0.2,0.5,0.0,0.0,0.2,0.0,0.125,0.3333333333333333,0.2,0.0,0.0,0.0,0.14285714285714285,0.375,0.5,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.25,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0
Bath Beach,Brooklyn,neighborhood,0.0,0.0,,0.0,0.5,0.0,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.16666666666666666,0.0,0.18181818181818182,0.18181818181818182,0.0,0.06666666666666667,0.16666666666666666,0.07692307692307693,0.0,0.14285714285714285,0.3076923076923077,0.0,0.0,0.0,0.2,0.08333333333333333,0.08333333333333333,0.0,0.14285714285714285,0.375,0.23529411764705882,0.06666666666666667,0.23529411764705882,0.06666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.25,0.2857142857142857,0.0,0.06666666666666667,0.0625,0.05555555555555555,0.058823529411764705,0.2222222222222222,0.14285714285714285,0.0,0.25,0.1875,0.0,0.4,0.0,0.0,0.16666666666666666,0.23076923076923078,0.1,0.5555555555555556,0.0,0.2,0.14285714285714285,0.1,0.125,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.42857142857142855,0.0,0.5,0.2727272727272727,0.0,0.0,0.0,0.0,0.1,0.08333333333333333,0.0,0.07142857142857142,0.125,0.13333333333333333,0.07692307692307693,0.25,0.125,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.2222222222222222,0.25,0.36363636363636365,0.18181818181818182,0.25,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.07692307692307693,0.0,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5
Battery Park City,Manhattan,neighborhood,0.11538461538461539,0.045454545454545456,0.05263157894736842,0.043478260869565216,0.06666666666666667,0.3076923076923077,0.1111111111111111,0.125,0.14285714285714285,0.0,0.2,0.0,0.06666666666666667,0.0,0.07692307692307693,0.0,0.12,0.15151515151515152,0.14705882352941177,0.1282051282051282,0.19444444444444445,0.10810810810810811,0.10256410256410256,0.1935483870967742,0.16666666666666666,0.034482758620689655,0.14285714285714285,0.09375,0.11428571428571428,0.13953488372093023,0.07547169811320754,0.2,0.13513513513513514,0.07894736842105263,0.09090909090909091,0.08823529411764706,0.034482758620689655,0.037037037037037035,0.058823529411764705,0.10810810810810811,0.15384615384615385,0.15384615384615385,0.10526315789473684,0.044444444444444446,0.24324324324324326,0.15151515151515152,0.125,0.13793103448275862,0.125,0.07692307692307693,0.09090909090909091,0.05714285714285714,0.06896551724137931,0.125,0.1724137931034483,0.15151515151515152,0.1875,0.2,0.1724137931034483,0.043478260869565216,0.21739130434782608,0.125,0.15789473684210525,0.047619047619047616,0.2222222222222222,0.19230769230769232,0.08333333333333333,0.1282051282051282,0.28125,0.18421052631578946,0.23529411764705882,0.1875,0.1794871794871795,0.17647058823529413,0.08108108108108109,0.26666666666666666,0.08823529411764706,0.2,0.2,0.11904761904761904,0.16666666666666666,0.23333333333333334,0.20833333333333334,0.1,0.32,0.2,0.07692307692307693,0.13333333333333333,0.1111111111111111,0.125,0.12121212121212122,0.23076923076923078,0.34615384615384615,0.1,0.14285714285714285,0.11764705882352941,0.0625,0.058823529411764705,0.07142857142857142,0.2,0.25925925925925924,0.10344827586206896,0.17857142857142858,0.26666666666666666,0.13333333333333333,0.06896551724137931,0.14285714285714285,0.3333333333333333,0.0625,0.08333333333333333,0.125,0.05555555555555555,0.18518518518518517,0.18181818181818182,0.3793103448275862,0.125,0.26666666666666666,0.3157894736842105,0.0625,0.1111111111111111,0.0,0.1,0.2,0.3333333333333333,0.03333333333333333,0.18604651162790697,0.14583333333333334,0.2708333333333333,0.2619047619047619,0.35,0.2,0.125,0.11627906976744186,0.09090909090909091,0.13157894736842105,0.0,0.05555555555555555,0.0,0.058823529411764705,0.14285714285714285,0.0,0.0,0.2857142857142857,0.1,0.1111111111111111,0.0,0.0,0.18181818181818182,0.1,0.1111111111111111,0.2631578947368421,0.3333333333333333,0.10526315789473684,0.11764705882352941,0.15789473684210525,0.2727272727272727,0.07692307692307693,0.09090909090909091,0.15384615384615385,0.0,0.09090909090909091,0.125,0.12,0.23076923076923078,0.18181818181818182,0.2,0.18181818181818182,0.0,0.125,0.0,0.16666666666666666,0.14285714285714285,0.23809523809523808,0.05263157894736842,0.1,0.1875,0.3333333333333333,0.29411764705882354,0.25,0.5,0.23076923076923078,0.3076923076923077,0.2,0.0,0.0,0.15384615384615385,0.17391304347826086,0.3181818181818182,0.4444444444444444,0.2,0.06666666666666667,0.2,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Bay Ridge,Brooklyn,neighborhood,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.25,0.5714285714285714,0.125,0.3333333333333333,0.14285714285714285,0.125,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.16666666666666666,0.0,0.1,0.125,0.14285714285714285,0.4,0.0,0.0,0.23529411764705882,0.22580645161290322,0.1111111111111111,0.02857142857142857,0.05555555555555555,0.0,0.03333333333333333,0.043478260869565216,0.05714285714285714,0.075,0.09302325581395349,0.06521739130434782,0.038461538461538464,0.07017543859649122,0.11864406779661017,0.08771929824561403,0.04838709677419355,0.02564102564102564,0.0,0.047619047619047616,0.0,0.044444444444444446,0.09302325581395349,0.09090909090909091,0.2,0.06818181818181818,0.11363636363636363,0.1956521739130435,0.11363636363636363,0.08888888888888889,0.020833333333333332,0.08928571428571429,0.24528301886792453,0.15254237288135594,0.1,0.11764705882352941,0.16071428571428573,0.21666666666666667,0.1206896551724138,0.15384615384615385,0.06451612903225806,0.13924050632911392,0.19318181818181818,0.1511627906976744,0.08737864077669903,0.15833333333333333,0.08527131782945736,0.11688311688311688,0.32786885245901637,0.24,0.2191780821917808,0.171875,0.2125,0.1511627906976744,0.2111111111111111,0.15789473684210525,0.2831858407079646,0.104,0.09523809523809523,0.1774193548387097,0.2564102564102564,0.288135593220339,0.14444444444444443,0.09210526315789473,0.11827956989247312,0.09734513274336283,0.125,0.11363636363636363,0.06593406593406594,0.2222222222222222,0.10091743119266056,0.12149532710280374,0.16176470588235295,0.09090909090909091,0.10975609756097561,0.06779661016949153,0.1076923076923077,0.16666666666666666,0.13333333333333333,0.15,0.1,0.05555555555555555,0.11688311688311688,0.27906976744186046,0.14912280701754385,0.24545454545454545,0.13333333333333333,0.17391304347826086,0.10526315789473684,0.1724137931034483,0.19718309859154928,0.11666666666666667,0.12698412698412698,0.125,0.0821917808219178,0.046153846153846156,0.045454545454545456,0.24444444444444444,0.1956521739130435,0.175,0.05128205128205128,0.15217391304347827,0.10344827586206896,0.06349206349206349,0.13846153846153847,0.11666666666666667,0.09803921568627451,0.17307692307692307,0.25,0.25925925925925924,0.32653061224489793,0.125,0.125,0.2903225806451613,0.17391304347826086,0.1951219512195122,0.1282051282051282,0.1388888888888889,0.047619047619047616,0.2702702702702703,0.1568627450980392,0.25,0.21621621621621623,0.0,0.1,0.1891891891891892,0.24242424242424243,0.14814814814814814,0.06666666666666667,0.14285714285714285,0.05714285714285714,0.14285714285714285,0.2413793103448276,0.24324324324324326,0.1702127659574468,0.125,0.1111111111111111,0.19148936170212766,0.20408163265306123,0.15384615384615385,0.11627906976744186,0.19047619047619047,0.16129032258064516,0.13157894736842105,0.12121212121212122,0.3157894736842105,0.20588235294117646,0.10344827586206896,0.08823529411764706,0.11538461538461539,0.3,0.125,0.11904761904761904,0.1935483870967742,0.11627906976744186,0.10810810810810811
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.5,0.0,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Bayside,Queens,neighborhood,0.0,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.2,0.0,0.2,0.125,0.16666666666666666,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.07142857142857142,0.0,0.16666666666666666,0.125,0.125,0.0,0.07692307692307693,0.1,0.13333333333333333,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.11538461538461539,0.045454545454545456,0.125,0.07692307692307693,0.1,0.058823529411764705,0.11764705882352941,0.21052631578947367,0.09523809523809523,0.15,0.1111111111111111,0.0,0.05263157894736842,0.045454545454545456,0.041666666666666664,0.023809523809523808,0.09523809523809523,0.2777777777777778,0.3157894736842105,0.0,0.058823529411764705,0.35294117647058826,0.08333333333333333,0.09523809523809523,0.25,0.21428571428571427,0.05555555555555555,0.1,0.25,0.23076923076923078,0.38461538461538464,0.2,0.09090909090909091,0.4,0.25,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.05263157894736842,0.2631578947368421,0.14285714285714285,0.07692307692307693,0.125,0.0,0.0,0.0,0.0,0.125,0.2,0.07692307692307693,0.0,0.1111111111111111,0.3,0.14285714285714285,0.0,0.125,0.0,0.1111111111111111,0.0,0.125,0.0,0.0,0.0,0.18181818181818182,0.0,0.1111111111111111,0.1111111111111111,0.5,0.15384615384615385,0.058823529411764705,0.16666666666666666,0.36363636363636365,0.5555555555555556,0.09090909090909091,0.21428571428571427,0.23076923076923078,0.13333333333333333,0.15384615384615385,0.1,0.14285714285714285,0.07692307692307693,0.06666666666666667,0.16666666666666666,0.0,0.05555555555555555,0.29411764705882354,0.2,0.1111111111111111,0.0,0.1,0.125,0.375,0.2222222222222222,0.1111111111111111,0.0,0.0,0.16666666666666666,0.13333333333333333,0.25,0.2727272727272727,0.0,0.0,0.125,0.14285714285714285,0.25,0.16666666666666666,0.0,0.14285714285714285,0.0,0.0,0.1,0.18181818181818182,0.0,0.375,0.0,0.2222222222222222,0.07142857142857142,0.16666666666666666,0.1,0.2,0.0,0.125
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.07692307692307693,0.16666666666666666,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.5,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,,,0.0,0.0,0.25,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.2857142857142857,0.0,0.0,0.4,0.16666666666666666,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0
Bedford-Stuyvesant,Brooklyn,neighborhood,0.08333333333333333,0.058823529411764705,0.24242424242424243,0.05714285714285714,0.17857142857142858,0.07407407407407407,0.0,0.058823529411764705,0.0,0.15384615384615385,0.13333333333333333,0.045454545454545456,0.061224489795918366,0.125,0.125,0.125,0.0,0.08823529411764706,0.125,0.07894736842105263,0.04,0.11538461538461539,0.23076923076923078,0.0,0.12195121951219512,0.07317073170731707,0.06521739130434782,0.140625,0.11764705882352941,0.10294117647058823,0.109375,0.23170731707317074,0.02531645569620253,0.10714285714285714,0.058823529411764705,0.09433962264150944,0.17142857142857143,0.08974358974358974,0.14102564102564102,0.1625,0.09523809523809523,0.1553398058252427,0.16793893129770993,0.13924050632911392,0.15492957746478872,0.21264367816091953,0.19337016574585636,0.18571428571428572,0.14741035856573706,0.14942528735632185,0.15719063545150502,0.16666666666666666,0.11904761904761904,0.21306818181818182,0.16790123456790124,0.12871287128712872,0.20535714285714285,0.15594059405940594,0.14012738853503184,0.13742071881606766,0.15521064301552107,0.1101123595505618,0.1062992125984252,0.14754098360655737,0.11896551724137931,0.13803680981595093,0.1172680412371134,0.10846560846560846,0.12436115843270869,0.132,0.1618798955613577,0.2050561797752809,0.12694300518134716,0.15601023017902813,0.18077803203661327,0.1522198731501057,0.1773308957952468,0.2,0.18985507246376812,0.1994535519125683,0.20029239766081872,0.22065727699530516,0.2251968503937008,0.15881326352530542,0.18810289389067525,0.2007168458781362,0.19224555735056542,0.1360759493670886,0.16308470290771176,0.17849462365591398,0.16529774127310062,0.19439868204283361,0.22896281800391388,0.23497267759562843,0.21129326047358835,0.14386792452830188,0.20614035087719298,0.19230769230769232,0.18834080717488788,0.13688212927756654,0.1282798833819242,0.1371280724450194,0.13676148796498905,0.16102683780630106,0.1598694942903752,0.21170610211706103,0.15749235474006115,0.1251908396946565,0.1548480463096961,0.15711947626841244,0.15123456790123457,0.16563467492260062,0.1994572591587517,0.1639135959339263,0.17551963048498845,0.13195342820181113,0.19141323792486584,0.1656441717791411,0.17972350230414746,0.19827586206896552,0.22556390977443608,0.24846625766871167,0.15333333333333332,0.19732441471571907,0.26572327044025157,0.26280623608017817,0.2516778523489933,0.2633114514952589,0.24702380952380953,0.22320637732506643,0.1686746987951807,0.16683621566632756,0.16279069767441862,0.13690476190476192,0.1546162402669633,0.09346846846846847,0.11198428290766209,0.1342512908777969,0.09813463098134631,0.14083175803402648,0.09752747252747253,0.14789687924016282,0.16561514195583596,0.0880281690140845,0.15397923875432526,0.15466666666666667,0.17577197149643706,0.13216957605985039,0.1382488479262673,0.12048192771084337,0.13559322033898305,0.19489981785063754,0.22424242424242424,0.21711899791231734,0.2560386473429952,0.17746478873239438,0.1776765375854214,0.2025974025974026,0.21846846846846846,0.17324561403508773,0.2074074074074074,0.19409937888198758,0.18043844856661045,0.19964973730297722,0.25565610859728505,0.3126491646778043,0.21144278606965175,0.20949720670391062,0.20093457943925233,0.2236180904522613,0.17061611374407584,0.15584415584415584,0.1646090534979424,0.18716577540106952,0.17391304347826086,0.17546583850931677,0.23498233215547704,0.19916142557651992,0.24754901960784315,0.20157068062827224,0.13573407202216067,0.1657754010695187,0.1557377049180328,0.12954545454545455,0.1414141414141414,0.16417910447761194,0.1641025641025641,0.15021459227467812,0.23929471032745592,0.2062146892655367,0.18670886075949367,0.1717557251908397,0.104,0.1111111111111111,0.18006430868167203,0.059322033898305086,0.09234828496042216,0.1442495126705653,0.132486388384755,0.1522633744855967
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,1.0,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.5,,,0.0,0.25,,,,,0.0,1.0,,,,1.0,0.0,0.5,0.3333333333333333,0.0,,,,0.0,,,,,0.0
