areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,0.09090909090909091,0.08571428571428572,0.029411764705882353,0.0,0.045454545454545456,0.14285714285714285,0.05555555555555555,0.07692307692307693,0.0,0.04,0.1,0.06666666666666667,0.0,0.16666666666666666,0.11764705882352941,0.0,0.0,0.0,0.06060606060606061,0.03333333333333333,0.07407407407407407,0.12903225806451613,0.0,0.1111111111111111,0.0,0.09375,0.05555555555555555,0.020833333333333332,0.04411764705882353,0.10909090909090909,0.14583333333333334,0.10714285714285714,0.1111111111111111,0.08333333333333333,0.06666666666666667,0.11594202898550725,0.11392405063291139,0.1774193548387097,0.08536585365853659,0.06666666666666667,0.07920792079207921,0.07258064516129033,0.09774436090225563,0.07079646017699115,0.046153846153846156,0.13793103448275862,0.13432835820895522,0.09937888198757763,0.07142857142857142,0.0641025641025641,0.08365019011406843,0.06231454005934718,0.041025641025641026,0.0546448087431694,0.071875,0.05654761904761905,0.06748466257668712,0.10198300283286119,0.10164835164835165,0.06281407035175879,0.05572755417956656,0.06233062330623306,0.09692671394799054,0.06845965770171149,0.07238095238095238,0.05405405405405406,0.03292181069958848,0.07077625570776255,0.13370473537604458,0.133630289532294,0.13665943600867678,0.09319899244332494,0.11331444759206799,0.09850746268656717,0.14356435643564355,0.14342629482071714,0.1237721021611002,0.120817843866171,0.13995943204868155,0.13333333333333333,0.13043478260869565,0.1791304347826087,0.19337016574585636,0.11462450592885376,0.1735159817351598,0.15413533834586465,0.1275239107332625,0.14842903575297942,0.15098241985522234,0.15289648622981955,0.15783898305084745,0.2058319039451115,0.22604790419161677,0.228125,0.19304347826086957,0.1894934333958724,0.1977818853974122,0.22697368421052633,0.21375186846038863,0.16429699842022116,0.21503957783641162,0.16751269035532995,0.1767180925666199,0.17040358744394618,0.19575856443719414,0.20254957507082152,0.18210862619808307,0.16755793226381463,0.16666666666666666,0.17463235294117646,0.18257956448911222,0.16380655226209048,0.1509433962264151,0.14488188976377953,0.15155615696887687,0.17405063291139242,0.19285714285714287,0.2067137809187279,0.1794871794871795,0.13903743315508021,0.18686868686868688,0.14745308310991956,0.16352201257861634,0.16872427983539096,0.1976470588235294,0.20385232744783308,0.2296037296037296,0.22713257965056527,0.20571955719557194,0.19806338028169015,0.174496644295302,0.14909478168264112,0.16954314720812183,0.14317925591882752,0.13745019920318724,0.10903083700440529,0.1158021712907117,0.1358974358974359,0.09235209235209235,0.11356466876971609,0.10829103214890017,0.11794871794871795,0.10919540229885058,0.10244988864142539,0.13333333333333333,0.10273972602739725,0.1111111111111111,0.08306709265175719,0.046263345195729534,0.07560137457044673,0.0449438202247191,0.10932475884244373,0.12919896640826872,0.18095238095238095,0.19060773480662985,0.13284132841328414,0.14124293785310735,0.12087912087912088,0.15229885057471265,0.06597222222222222,0.08823529411764706,0.13218390804597702,0.11458333333333333,0.1518624641833811,0.19505494505494506,0.18652849740932642,0.19856459330143542,0.11621621621621622,0.12064343163538874,0.0927536231884058,0.1421188630490956,0.10632911392405063,0.11009174311926606,0.11496746203904555,0.11185682326621924,0.14864864864864866,0.18227848101265823,0.14416475972540047,0.16,0.13752913752913754,0.13013698630136986,0.1513647642679901,0.1320754716981132,0.125,0.1662921348314607,0.11566265060240964,0.1256544502617801,0.14320987654320988,0.19827586206896552,0.14741035856573706,0.14473684210526316,0.1122715404699739,0.08426966292134831,0.11038961038961038,0.10029498525073746,0.07396449704142012,0.09090909090909091,0.10324483775811209,0.1125,0.11979166666666667
Auburndale,Queens,neighborhood,0.0,1.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.25,0.0,0.16666666666666666,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.5,,0.0,0.0,0.0,0.25,0.18181818181818182,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.125,0.375,0.3333333333333333,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.14285714285714285,0.4166666666666667,0.3333333333333333,0.0,0.25,0.2,0.0,,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.1111111111111111,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.3333333333333333,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2857142857142857,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.5,0.0,,,,0.0,0.0,,,,,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.2,0.0,0.3333333333333333,0.0,0.2222222222222222,0.16666666666666666,0.0,0.1111111111111111,0.2222222222222222,0.1,0.25,0.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1,0.35714285714285715,0.26666666666666666,0.125,0.0625,0.0625,0.0,0.1111111111111111,0.1111111111111111,0.5,0.25,0.0,0.18181818181818182,0.3,0.18181818181818182,0.1875,0.07142857142857142,0.12,0.08,0.10526315789473684,0.04,0.13333333333333333,0.0,0.07692307692307693,0.15384615384615385,0.03333333333333333,0.05555555555555555,0.043478260869565216,0.043478260869565216,0.0,0.3333333333333333,0.08333333333333333,0.1875,0.2,0.5,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.125,0.0,0.0,0.1111111111111111,0.125,0.12,0.13636363636363635,0.0625,0.0,0.2,0.09090909090909091,0.16,0.13043478260869565,0.05263157894736842,0.0,0.0,0.13333333333333333,0.058823529411764705,0.07692307692307693,0.043478260869565216,0.1,0.0,0.5714285714285714,0.18181818181818182,0.0,0.21428571428571427,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.16666666666666666,0.0,0.125,0.1111111111111111,0.2,0.0,0.4,0.0,0.1,0.2,0.0,0.125,0.1,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.25,0.09090909090909091,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery Park City,Manhattan,neighborhood,0.07936507936507936,0.078125,0.08333333333333333,0.05405405405405406,0.02564102564102564,0.041666666666666664,0.1276595744680851,0.1509433962264151,0.045454545454545456,0.02702702702702703,0.2647058823529412,0.07894736842105263,0.020833333333333332,0.11363636363636363,0.07547169811320754,0.15789473684210525,0.08695652173913043,0.09090909090909091,0.10204081632653061,0.16326530612244897,0.15873015873015872,0.19117647058823528,0.30434782608695654,0.15254237288135594,0.23214285714285715,0.09803921568627451,0.06779661016949153,0.21875,0.23076923076923078,0.14772727272727273,0.1276595744680851,0.14150943396226415,0.17777777777777778,0.14942528735632185,0.08695652173913043,0.11267605633802817,0.1686746987951807,0.08823529411764706,0.1,0.11688311688311688,0.16483516483516483,0.06818181818181818,0.16494845360824742,0.21296296296296297,0.12371134020618557,0.1206896551724138,0.05128205128205128,0.1111111111111111,0.20987654320987653,0.08641975308641975,0.05,0.07407407407407407,0.10619469026548672,0.06956521739130435,0.14678899082568808,0.20202020202020202,0.17777777777777778,0.18823529411764706,0.15584415584415584,0.22033898305084745,0.1267605633802817,0.22033898305084745,0.23880597014925373,0.14084507042253522,0.19753086419753085,0.27586206896551724,0.16853932584269662,0.25,0.2391304347826087,0.25,0.16666666666666666,0.14634146341463414,0.4,0.29069767441860467,0.2222222222222222,0.2,0.13580246913580246,0.16346153846153846,0.34285714285714286,0.1891891891891892,0.16483516483516483,0.23076923076923078,0.24390243902439024,0.14492753623188406,0.15789473684210525,0.20634920634920634,0.20967741935483872,0.14666666666666667,0.16455696202531644,0.20253164556962025,0.2261904761904762,0.2361111111111111,0.2916666666666667,0.2702702702702703,0.24561403508771928,0.1694915254237288,0.30158730158730157,0.2698412698412698,0.23880597014925373,0.19117647058823528,0.16216216216216217,0.08571428571428572,0.2987012987012987,0.25882352941176473,0.2926829268292683,0.2857142857142857,0.16417910447761194,0.3148148148148148,0.2,0.21428571428571427,0.13846153846153847,0.21739130434782608,0.21621621621621623,0.30158730158730157,0.140625,0.2542372881355932,0.29310344827586204,0.16666666666666666,0.2459016393442623,0.2833333333333333,0.2033898305084746,0.09523809523809523,0.1282051282051282,0.21875,0.18571428571428572,0.2222222222222222,0.3,0.325,0.31666666666666665,0.2956521739130435,0.21568627450980393,0.08163265306122448,0.24358974358974358,0.14285714285714285,0.19767441860465115,0.02631578947368421,0.0,0.06521739130434782,0.16216216216216217,0.2777777777777778,0.4166666666666667,0.25806451612903225,0.5,0.35294117647058826,0.3333333333333333,0.11428571428571428,0.24324324324324326,0.09523809523809523,0.12121212121212122,0.15384615384615385,0.16279069767441862,0.19444444444444445,0.3409090909090909,0.3125,0.35,0.2777777777777778,0.22916666666666666,0.1,0.3191489361702128,0.11904761904761904,0.05555555555555555,0.13636363636363635,0.3582089552238806,0.2894736842105263,0.2153846153846154,0.4307692307692308,0.3225806451612903,0.27692307692307694,0.2753623188405797,0.2,0.025,0.043478260869565216,0.125,0.2894736842105263,0.33962264150943394,0.1956521739130435,0.40540540540540543,0.358974358974359,0.5555555555555556,0.39622641509433965,0.0196078431372549,0.2413793103448276,0.3333333333333333,0.3157894736842105,0.20833333333333334,0.24242424242424243,0.3409090909090909,0.40816326530612246,0.17142857142857143,0.3333333333333333,0.4358974358974359,0.5384615384615384,0.15217391304347827,0.13793103448275862,0.0975609756097561,0.02127659574468085,0.38461538461538464,0.15151515151515152,0.08333333333333333,0.5116279069767442
Bay Ridge,Brooklyn,neighborhood,0.07692307692307693,0.0,0.18181818181818182,0.25,0.1111111111111111,0.15384615384615385,0.1,0.25,0.0,0.16666666666666666,0.058823529411764705,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.11764705882352941,0.1875,0.0,0.0,0.0,0.1111111111111111,0.1,0.09090909090909091,0.15384615384615385,0.09090909090909091,0.1,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.07692307692307693,0.07692307692307693,0.1111111111111111,0.11764705882352941,0.05555555555555555,0.06666666666666667,0.19047619047619047,0.0,0.13333333333333333,0.021739130434782608,0.017241379310344827,0.0,0.04225352112676056,0.03529411764705882,0.05263157894736842,0.03278688524590164,0.07017543859649122,0.1267605633802817,0.05747126436781609,0.056818181818181816,0.14606741573033707,0.11363636363636363,0.09090909090909091,0.05063291139240506,0.08974358974358974,0.0379746835443038,0.07216494845360824,0.09243697478991597,0.078125,0.05785123966942149,0.06896551724137931,0.041666666666666664,0.12903225806451613,0.11578947368421053,0.08653846153846154,0.08045977011494253,0.0784313725490196,0.1111111111111111,0.13953488372093023,0.09433962264150944,0.11290322580645161,0.10526315789473684,0.06611570247933884,0.10236220472440945,0.11702127659574468,0.18627450980392157,0.13725490196078433,0.13043478260869565,0.14754098360655737,0.14634146341463414,0.167420814479638,0.12844036697247707,0.08620689655172414,0.1383399209486166,0.08936170212765958,0.18333333333333332,0.16058394160583941,0.14545454545454545,0.14545454545454545,0.1693548387096774,0.17037037037037037,0.11805555555555555,0.12571428571428572,0.1099476439790576,0.12037037037037036,0.1318181818181818,0.1323529411764706,0.1291866028708134,0.14507772020725387,0.20089285714285715,0.1736842105263158,0.09395973154362416,0.1111111111111111,0.12209302325581395,0.135678391959799,0.14427860696517414,0.12682926829268293,0.1527777777777778,0.14666666666666667,0.13013698630136986,0.12295081967213115,0.11764705882352941,0.0975609756097561,0.13953488372093023,0.16494845360824742,0.14893617021276595,0.1348314606741573,0.04081632653061224,0.09210526315789473,0.15306122448979592,0.16535433070866143,0.16083916083916083,0.1711229946524064,0.21390374331550802,0.1949685534591195,0.17054263565891473,0.09782608695652174,0.1566265060240964,0.11764705882352941,0.1485148514851485,0.105,0.10526315789473684,0.09929078014184398,0.09090909090909091,0.1509433962264151,0.11290322580645161,0.14754098360655737,0.09900990099009901,0.07142857142857142,0.10843373493975904,0.16483516483516483,0.14432989690721648,0.08823529411764706,0.05128205128205128,0.14285714285714285,0.0989010989010989,0.21296296296296297,0.15315315315315314,0.14606741573033707,0.11764705882352941,0.12790697674418605,0.1875,0.11956521739130435,0.11538461538461539,0.0625,0.14666666666666667,0.1111111111111111,0.13559322033898305,0.11764705882352941,0.0963855421686747,0.15,0.20634920634920634,0.21875,0.09523809523809523,0.13114754098360656,0.14084507042253522,0.14457831325301204,0.125,0.12658227848101267,0.1686746987951807,0.18333333333333332,0.11290322580645161,0.21052631578947367,0.10810810810810811,0.1,0.125,0.09090909090909091,0.16279069767441862,0.09210526315789473,0.1232876712328767,0.16666666666666666,0.0975609756097561,0.2,0.17543859649122806,0.22641509433962265,0.10869565217391304,0.08163265306122448,0.12,0.1568627450980392,0.08163265306122448,0.07547169811320754,0.17543859649122806,0.1746031746031746,0.125
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.25,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.14285714285714285,0.2,0.2,0.1,0.2,0.1,0.0,0.1111111111111111,0.1111111111111111,0.0,0.25,0.1,0.2631578947368421,0.14285714285714285,0.07692307692307693,0.1,0.125,0.08333333333333333,0.3,0.25,0.0,0.25,0.0,0.0,0.3076923076923077,0.35294117647058826,0.3076923076923077,0.16666666666666666,0.125,0.07692307692307693,0.15384615384615385,0.26666666666666666,0.23076923076923078,0.17647058823529413,0.0625,0.07692307692307693,0.25,0.09090909090909091,0.16666666666666666,0.4166666666666667,0.0625,0.25925925925925924,0.19047619047619047,0.13333333333333333,0.09090909090909091,0.0,0.0,0.07142857142857142,0.17647058823529413,0.07692307692307693,0.09090909090909091,0.1111111111111111,0.2777777777777778,0.13043478260869565,0.2857142857142857,0.07692307692307693,0.09090909090909091,0.25,0.0,0.0,0.2,0.2857142857142857,0.125,0.14285714285714285,0.1875,0.0,0.125,0.2222222222222222,0.26666666666666666,0.36363636363636365,0.1,0.058823529411764705,0.0,0.0,0.09090909090909091,0.1,0.08333333333333333,0.21428571428571427,0.05263157894736842,0.15625,0.0,0.15384615384615385,0.16666666666666666,0.0,0.0,0.1,0.15384615384615385,0.3333333333333333,0.1111111111111111,0.0,0.125,0.09090909090909091,0.0,0.0,0.14285714285714285,0.16666666666666666,0.3076923076923077,0.2222222222222222,0.13043478260869565,0.125,0.05555555555555555,0.375,0.0,0.07142857142857142,0.16666666666666666,0.375,0.18181818181818182,0.1,0.1111111111111111,0.15384615384615385,0.21428571428571427,0.15384615384615385,0.15789473684210525,0.0,0.0,0.16666666666666666,0.15384615384615385,0.058823529411764705,0.08333333333333333,0.0,0.14285714285714285,0.07142857142857142,0.16666666666666666
Bedford Park,Bronx,neighborhood,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.09090909090909091,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.14285714285714285,0.0,0.3,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,,,,0.0,0.2,0.0,,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.4,0.0,0.25,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.09090909090909091,0.1111111111111111,0.16666666666666666,0.2,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0
Bedford-Stuyvesant,Brooklyn,neighborhood,0.1590909090909091,0.1111111111111111,0.15217391304347827,0.12195121951219512,0.05405405405405406,0.023809523809523808,0.10526315789473684,0.0851063829787234,0.225,0.1568627450980392,0.125,0.041666666666666664,0.057971014492753624,0.05747126436781609,0.15,0.043478260869565216,0.08196721311475409,0.057692307692307696,0.10714285714285714,0.08823529411764706,0.027777777777777776,0.08235294117647059,0.1111111111111111,0.05084745762711865,0.1388888888888889,0.14634146341463414,0.1875,0.0967741935483871,0.14606741573033707,0.15730337078651685,0.11,0.11578947368421053,0.1506849315068493,0.14814814814814814,0.13402061855670103,0.08695652173913043,0.15517241379310345,0.05660377358490566,0.14285714285714285,0.1746987951807229,0.15568862275449102,0.12578616352201258,0.16853932584269662,0.15934065934065933,0.1761006289308176,0.1542056074766355,0.15714285714285714,0.12735849056603774,0.09333333333333334,0.08878504672897196,0.12915129151291513,0.1314878892733564,0.11838006230529595,0.17563739376770537,0.18037135278514588,0.13539192399049882,0.20930232558139536,0.1726027397260274,0.16666666666666666,0.14210526315789473,0.12530120481927712,0.12761020881670534,0.15584415584415584,0.148,0.11732851985559567,0.1358609794628752,0.1148036253776435,0.13177159590043924,0.15110356536502548,0.14382402707275804,0.20647773279352227,0.13333333333333333,0.14468085106382977,0.17787418655097614,0.18703703703703703,0.16334661354581673,0.1806797853309481,0.19875776397515527,0.2088698140200286,0.2237017310252996,0.21496815286624205,0.23195876288659795,0.2193126022913257,0.1675213675213675,0.19171779141104295,0.1484375,0.21031207598371776,0.16621983914209115,0.16477272727272727,0.18219037871033777,0.1487437185929648,0.23765432098765432,0.20569620253164558,0.22575976845151954,0.21940298507462686,0.20186915887850468,0.19591141396933562,0.16551724137931034,0.16965742251223492,0.18251533742331288,0.12576687116564417,0.16666666666666666,0.13020833333333334,0.14810126582278482,0.18994413407821228,0.21805392731535755,0.15958815958815958,0.10975609756097561,0.13497822931785197,0.15146831530139104,0.14754098360655737,0.1391304347826087,0.16334661354581673,0.20078226857887874,0.16704805491990846,0.17053364269141533,0.1622464898595944,0.14143426294820718,0.1670428893905192,0.16241299303944315,0.16920152091254753,0.17068645640074212,0.15730337078651685,0.17717717717717718,0.22434017595307917,0.25638297872340426,0.2352437981180496,0.25425101214574897,0.25040783034257746,0.2182916307161346,0.19351669941060903,0.1746031746031746,0.14285714285714285,0.1405152224824356,0.1511627906976744,0.09466019417475728,0.11310190369540873,0.10758776896942242,0.09770114942528736,0.10506329113924051,0.10820895522388059,0.15543071161048688,0.14673913043478262,0.12307692307692308,0.17158176943699732,0.08902077151335312,0.11735941320293398,0.07349081364829396,0.08743169398907104,0.13882863340563992,0.11702127659574468,0.1687612208258528,0.1970260223048327,0.17452830188679244,0.22851153039832284,0.1414141414141414,0.152317880794702,0.19607843137254902,0.16938775510204082,0.163855421686747,0.1973929236499069,0.18150087260034903,0.1413793103448276,0.1853035143769968,0.20696324951644102,0.24057450628366248,0.23116438356164384,0.21604938271604937,0.18687872763419483,0.18202764976958524,0.1543942992874109,0.1391304347826087,0.18548387096774194,0.17647058823529413,0.17630057803468208,0.19562043795620437,0.18874172185430463,0.20299500831946754,0.20202020202020202,0.16698656429942418,0.13496932515337423,0.14216867469879518,0.13680154142581888,0.116600790513834,0.157439446366782,0.14551083591331268,0.17155425219941348,0.18558558558558558,0.17381974248927037,0.20758928571428573,0.2,0.15028901734104047,0.11141304347826086,0.12534818941504178,0.125,0.0825242718446602,0.12958963282937366,0.1136,0.10662358642972536,0.13453815261044177
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,,,0.0,0.5,0.0,0.3333333333333333,0.0,,0.25,0.2,0.0,0.0,0.2,1.0,0.0,1.0,,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.5,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.5,0.0,,0.0,0.3333333333333333,0.0,0.0,0.0,,,,,1.0,1.0,,0.0,0.0,,,,,,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,0.0,,,,0.0,
