areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,1395.0,1450.0,1450.0,1395.0,1400.0,1500.0,1400.0,1425.0,1495.0,1600.0,1575.0,1500.0,1450.0,1450.0,1600.0,1750.0,1875.0,1875.0,1800.0,1850.0,1900.0,1850.0,1750.0,1800.0,1695.0,1725.0,1750.0,1875.0,1800.0,1700.0,1830.0,1950.0,2100.0,2000.0,1900.0,1695.0,1600.0,1700.0,1750.0,1800.0,1900.0,1850.0,1950.0,1850.0,1900.0,1870.0,1850.0,1800.0,1750.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1850.0,1800.0,1895.0,1900.0,1900.0,1850.0,1875.0,1850.0,1900.0,1995.0,1900.0,1900.0,1900.0,1900.0,1900.0,1975.0,1950.0,2000.0,1950.0,2000.0,1900.0,1950.0,2000.0,2000.0,2000.0,1999.0,2000.0,1950.0,1900.0,1900.0,1900.0,1900.0,1900.0,1950.0,1900.0,1899.0,1850.0,1850.0,1850.0,1850.0,1850.0,1875.0,1900.0,1850.0,1900.0,1900.0,1950.0,1900.0,1900.0,1945.0,1900.0,1900.0,1900.0,1950.0,2000.0,1950.0,1950.0,1999.0,2000.0,2000.0,2025.0,1975.0,1995.0,2100.0,2100.0,2000.0,1995.0,1925.0,1900.0,1899.0,1850.0,1800.0,1800.0,1800.0,1755.0,1750.0,1750.0,1775.0,1799.0,1800.0,1850.0,1875.0,1900.0,1975.0,1925.0,1950.0,1975.0,1995.0,2000.0,2100.0,2150.0,2250.0,2300.0,2399.0,2400.0,2400.0,2375.0,2300.0,2375.0,2400.0,2400.0,2400.0,2499.0,2495.0,2450.0,2495.0,2495.0,2400.0,2400.0,2450.0,2475.0,2500.0,2550.0,2575.0,2699.0,2695.0,2675.0,2699.0,2600.0,2575.0,2550.0,2600.0,2685.0,2700.0,2650.0,2650.0,2700.0,2899.0,2999.0,2930.0,2850.0,2850.0,2800.0,2950.0,2980.0,2900.0,2900.0,2900.0,2995.0,3100.0,3150.0,3200.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,2200.0,2200.0,1550.0,1550.0,1550.0,1550.0,,1300.0,1300.0,1250.0,1200.0,1125.0,1175.0,1250.0,1300.0,1300.0,1300.0,1395.0,1395.0,1275.0,,,,1495.0,1300.0,1300.0,,,,1300.0,1300.0,1400.0,,1500.0,1450.0,,,1500.0,1495.0,1500.0,1500.0,,1200.0,1350.0,1400.0,1595.0,1495.0,1400.0,1500.0,1625.0,1625.0,1650.0,1250.0,1595.0,1625.0,1500.0,1800.0,1795.0,1650.0,1500.0,1500.0,1350.0,1795.0,1395.0,1395.0,1375.0,1700.0,1550.0,1500.0,1500.0,1450.0,1550.0,1425.0,1425.0,1650.0,1550.0,1400.0,1650.0,1600.0,1695.0,1550.0,1550.0,1895.0,1800.0,1750.0,1675.0,1650.0,1600.0,1750.0,1650.0,1900.0,1700.0,1700.0,1595.0,1600.0,1500.0,1600.0,1675.0,1600.0,1575.0,1675.0,1600.0,1575.0,1600.0,1750.0,1750.0,1725.0,1750.0,1650.0,1750.0,1795.0,1800.0,1800.0,1700.0,1650.0,1625.0,1800.0,1800.0,1800.0,1575.0,1800.0,1800.0,1650.0,2514.0,2514.0,2514.0,1600.0,1750.0,1675.0,1700.0,1700.0,1900.0,1900.0,1750.0,1700.0,1950.0,1800.0,1900.0,1850.0,1650.0,1975.0,1950.0,1800.0,2150.0,1900.0,2634.0,1950.0,1950.0,2110.0,1800.0,1750.0,1900.0,1900.0,2300.0,2250.0,2100.0,2000.0,2000.0,2025.0,2399.0,1850.0,1850.0,2350.0,2350.0,2350.0,2202.0,2200.0,,,,2700.0,2350.0,2000.0,2000.0,2299.0,2400.0,2000.0,2400.0,2395.0
Bath Beach,Brooklyn,neighborhood,,,,,,,,1300.0,1300.0,1300.0,,,,1300.0,950.0,950.0,950.0,950.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1175.0,1375.0,1345.0,1250.0,1345.0,1375.0,1375.0,1375.0,1125.0,1125.0,1125.0,1125.0,1125.0,1200.0,1250.0,1300.0,1300.0,1300.0,1325.0,1325.0,1200.0,1395.0,1200.0,1200.0,1395.0,1395.0,,1300.0,1300.0,1100.0,1280.0,1350.0,1325.0,1325.0,1400.0,1400.0,1445.0,1400.0,1400.0,1400.0,1400.0,1425.0,1425.0,1495.0,1495.0,1500.0,1400.0,1500.0,1500.0,1500.0,1500.0,1375.0,1450.0,1450.0,1450.0,1400.0,1350.0,1400.0,1350.0,1600.0,1450.0,1400.0,1600.0,1595.0,1495.0,1495.0,1400.0,1500.0,1550.0,1550.0,1600.0,1550.0,1625.0,1500.0,1500.0,1499.0,1499.0,1550.0,1575.0,1525.0,1548.0,1600.0,1599.0,1599.0,1550.0,1525.0,1775.0,1699.0,1525.0,1725.0,1700.0,1690.0,1700.0,1450.0,1375.0,1600.0,1599.0,1500.0,1550.0,1550.0,1550.0,1685.0,1550.0,1549.0,1600.0,1624.0,1655.0,1600.0,1600.0,1600.0,1600.0,1650.0,1625.0,1659.0,1615.0,1600.0,1550.0,1650.0,1600.0,1600.0,1650.0,1650.0,1650.0,1750.0,1750.0,1699.0,1699.0,1750.0,1750.0,1949.0,1700.0,1775.0,1650.0,1750.0,1750.0,1750.0,1700.0,1850.0,1899.0,1850.0,1800.0,1995.0,1850.0,1850.0,1900.0,1850.0,1855.0,2000.0,1975.0,1850.0,1895.0,1950.0,1900.0,1895.0,1795.0,1975.0,1995.0,1999.0,2200.0,2200.0,2200.0,2000.0,2050.0,2100.0,2150.0,2150.0,2150.0,2000.0,2000.0,2150.0,2250.0
Battery Park City,Manhattan,neighborhood,2875.0,2800.0,2900.0,2800.0,2700.0,2895.0,2900.0,2950.0,3000.0,3065.0,2995.0,3000.0,2945.0,2945.0,2895.0,2835.0,2900.0,3100.0,3190.0,3195.0,3200.0,3200.0,3000.0,3200.0,3155.0,3200.0,3212.0,3200.0,3263.0,3295.0,3300.0,3350.0,3295.0,3295.0,3200.0,3295.0,3350.0,3250.0,3295.0,3295.0,3480.0,3350.0,3300.0,3375.0,3350.0,3350.0,3350.0,3385.0,3375.0,3300.0,3400.0,3250.0,3300.0,3500.0,3550.0,3540.0,3595.0,3400.0,3300.0,3300.0,3400.0,3550.0,3600.0,3600.0,3850.0,3795.0,3775.0,3800.0,3945.0,3995.0,3995.0,3800.0,3588.0,3601.0,3650.0,3800.0,3900.0,3850.0,3800.0,3700.0,3700.0,3650.0,3569.0,3550.0,3600.0,3550.0,3550.0,3550.0,3575.0,3700.0,3700.0,3600.0,3550.0,3565.0,3471.0,3595.0,3500.0,3500.0,3600.0,3575.0,3700.0,3700.0,3990.0,3975.0,3870.0,3775.0,3820.0,3850.0,3700.0,3995.0,3932.0,3950.0,3950.0,4150.0,4095.0,4050.0,4000.0,3900.0,4205.0,4000.0,3950.0,3969.0,3995.0,3950.0,3950.0,3692.0,3600.0,3323.0,3375.0,3370.0,3300.0,3335.0,3265.0,3325.0,3325.0,3405.0,3600.0,3800.0,3960.0,4055.0,4190.0,4190.0,4150.0,4255.0,4350.0,4100.0,4425.0,4400.0,4730.0,4750.0,4985.0,4645.0,4440.0,4315.0,4145.0,4130.0,4250.0,4645.0,4500.0,4460.0,4925.0,4900.0,4905.0,4960.0,4730.0,4570.0,4500.0,4300.0,4260.0,4280.0,4530.0,4830.0,4990.0,5235.0,5435.0,5510.0,5200.0,4790.0,4470.0,4600.0,5072.0,4763.0,4861.0,4988.0,5317.0,5289.0,5061.0,5355.0,5263.0,5054.0,4923.0,4985.0,4970.0,5042.0,5147.0,5250.0,5398.0,5600.0,5406.0,5325.0
Bay Ridge,Brooklyn,neighborhood,1350.0,1350.0,1350.0,1350.0,1325.0,1325.0,1300.0,1200.0,1200.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1375.0,1300.0,1300.0,1425.0,1450.0,1450.0,1295.0,1295.0,1325.0,1300.0,1275.0,1295.0,1299.0,1295.0,1300.0,1400.0,1450.0,1500.0,1500.0,1500.0,1425.0,1400.0,1325.0,1525.0,1525.0,1525.0,1525.0,1500.0,1550.0,1500.0,1500.0,1500.0,1550.0,1550.0,1550.0,1525.0,1525.0,1500.0,1450.0,1500.0,1500.0,1500.0,1550.0,1550.0,1500.0,1550.0,1575.0,1575.0,1550.0,1575.0,1600.0,1650.0,1700.0,1675.0,1650.0,1625.0,1600.0,1600.0,1650.0,1650.0,1650.0,1700.0,1700.0,1700.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1625.0,1650.0,1650.0,1650.0,1625.0,1650.0,1675.0,1650.0,1650.0,1675.0,1650.0,1675.0,1675.0,1700.0,1695.0,1700.0,1700.0,1699.0,1700.0,1700.0,1650.0,1725.0,1700.0,1699.0,1700.0,1700.0,1700.0,1695.0,1725.0,1700.0,1700.0,1700.0,1700.0,1700.0,1750.0,1700.0,1750.0,1750.0,1750.0,1750.0,1700.0,1700.0,1650.0,1650.0,1650.0,1650.0,1650.0,1675.0,1675.0,1650.0,1650.0,1699.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1750.0,1750.0,1800.0,1750.0,1800.0,1875.0,1900.0,1875.0,1800.0,1850.0,1900.0,2000.0,1995.0,1900.0,1950.0,1900.0,1925.0,1975.0,2000.0,1900.0,1900.0,1950.0,1900.0,2025.0,1995.0,2000.0,2000.0,2100.0,2095.0,2000.0,2150.0,1950.0,1995.0,2000.0,2100.0,2200.0,2100.0,2150.0,2100.0,2150.0,2275.0,2250.0,2199.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2250.0,2250.0,2299.0,2250.0,2200.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,990.0,990.0,990.0,990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.0,,,,,,,1300.0,,,,1500.0,1500.0,,,,,,,,,1900.0,1900.0,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,1800.0,1875.0,1800.0,1800.0,1875.0,1875.0,1900.0,1900.0,1900.0,1900.0,1950.0,1900.0,1900.0,1900.0,1950.0,1950.0,1950.0,1950.0,1900.0,1900.0,1950.0,1900.0,1900.0,1900.0,1900.0,1400.0,1400.0,1600.0,1600.0,1500.0,1550.0,1550.0,1250.0,1800.0,2000.0,2000.0,1925.0,1925.0,1600.0,2100.0,2150.0,1600.0,1600.0,1600.0,1380.0,2050.0,,,1350.0,1350.0,1700.0,1700.0,1700.0,2150.0,2075.0,2000.0,2000.0,2000.0,1795.0,1800.0,2100.0,2100.0,2300.0,2100.0,1795.0,1450.0,2200.0,1450.0,1450.0,2200.0,2200.0,2200.0,1975.0,1745.0,1750.0,1950.0,1850.0,2050.0,1800.0,1695.0,1700.0,1700.0,1700.0,1600.0,1950.0,2300.0,2300.0,2300.0,2300.0,1950.0,2200.0,2150.0,1800.0,1800.0,2000.0,1700.0,2100.0,1750.0,1700.0,1650.0,1600.0,1700.0,1850.0,1850.0,1750.0,2000.0,2000.0,2000.0,1825.0,2000.0,1825.0,1875.0,1850.0,1850.0,1845.0,1700.0,1845.0,2000.0,1850.0,1875.0,1875.0,1875.0,1875.0,1875.0,1950.0,1875.0,1875.0,1875.0,1845.0,1850.0,1875.0,1875.0,1850.0,1800.0,1850.0,1850.0,1850.0,1875.0,1875.0,1925.0,1799.0,1800.0,1900.0,1925.0,1950.0,1970.0,1975.0,1975.0,1975.0,2000.0,2250.0,2250.0,1995.0,2200.0,2050.0,2050.0,2075.0,2075.0,2050.0,2100.0,2150.0,2150.0,2200.0,2200.0,2200.0,2100.0,2200.0,2199.0,2250.0,2275.0,2300.0,2400.0,2495.0,2495.0,2475.0,2400.0,2400.0,2475.0,2450.0,2400.0,2400.0,2450.0,2450.0,2250.0,2500.0,2540.0,2550.0,2550.0,2500.0,2450.0,2500.0,2500.0,2450.0,2400.0,2425.0,2450.0,2450.0,2600.0,2600.0,2525.0
Bedford Park,Bronx,neighborhood,895.0,895.0,845.0,845.0,875.0,875.0,875.0,,,,,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0,875.0,900.0,880.0,875.0,875.0,950.0,950.0,1125.0,975.0,975.0,1050.0,1050.0,1050.0,975.0,1095.0,1100.0,1050.0,995.0,950.0,975.0,975.0,1025.0,1195.0,1150.0,1095.0,1095.0,1095.0,1075.0,925.0,950.0,925.0,1195.0,1195.0,1000.0,1050.0,1195.0,1223.0,1300.0,1400.0,1400.0,1375.0,1350.0,1400.0,1400.0,1415.0,1350.0,1325.0,1300.0,1300.0,1350.0,1399.0,1350.0,1300.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1475.0,1450.0,1500.0,1450.0,1450.0,1450.0,1375.0,1400.0,1500.0,1500.0,1550.0,1550.0,1525.0,1550.0,1450.0,1499.0,1600.0,1525.0,1450.0,1275.0,1200.0,1525.0,1450.0,1500.0,1550.0,1500.0,1425.0,1450.0,1490.0,1375.0,1450.0,1490.0,1599.0,1490.0,1550.0,1495.0,1490.0,1595.0,1698.0,1575.0,1700.0,1625.0,1695.0,1725.0,1600.0,1600.0,1650.0,1650.0,1595.0,1695.0,1695.0,1650.0,1625.0,1625.0,1699.0,1625.0,1699.0,1665.0,1695.0,1650.0,1625.0,1495.0,1500.0,1400.0,1450.0,1595.0,1625.0,1600.0,1695.0,1725.0,1750.0,1695.0,1750.0,1550.0,1600.0,1590.0,1625.0,1700.0,1740.0,1525.0,1750.0,1750.0,1895.0,2200.0,1750.0,1695.0,1950.0,1895.0,1885.0,1675.0,1800.0,1775.0,1750.0,1927.0,1895.0,1650.0,1619.0,1695.0,1800.0,1800.0,1900.0,1850.0,1700.0,1700.0,1699.0,1895.0,1900.0,2030.0,1925.0,2150.0,2127.0,2000.0,1975.0,1795.0,1825.0,2095.0,1800.0,2025.0,2100.0,2125.0,1795.0,1820.0
Bedford-Stuyvesant,Brooklyn,neighborhood,1600.0,1600.0,1450.0,1450.0,1400.0,1350.0,1350.0,1350.0,1400.0,1500.0,1500.0,1450.0,1400.0,1400.0,1400.0,1400.0,1375.0,1375.0,1450.0,1450.0,1400.0,1500.0,1400.0,1400.0,1400.0,1500.0,1599.0,1600.0,1600.0,1525.0,1500.0,1495.0,1500.0,1499.0,1500.0,1575.0,1500.0,1600.0,1650.0,1700.0,1600.0,1600.0,1675.0,1750.0,1700.0,1700.0,1700.0,1750.0,1700.0,1695.0,1750.0,1795.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1799.0,1800.0,1795.0,1800.0,1900.0,1950.0,1950.0,1995.0,1950.0,1900.0,1900.0,1960.0,1925.0,1950.0,1950.0,1999.0,2050.0,2050.0,2100.0,2125.0,2100.0,2100.0,2050.0,2000.0,2000.0,2000.0,2000.0,2000.0,2062.0,2100.0,2100.0,2100.0,2123.0,2150.0,2100.0,2050.0,2000.0,2017.0,2000.0,2100.0,2150.0,2150.0,2150.0,2150.0,2199.0,2200.0,2199.0,2186.0,2199.0,2150.0,2145.0,2199.0,2200.0,2250.0,2199.0,2225.0,2275.0,2292.0,2291.0,2245.0,2220.0,2200.0,2300.0,2350.0,2299.0,2245.0,2200.0,2200.0,2150.0,2090.0,2000.0,2000.0,1975.0,1971.0,1995.0,1950.0,1999.0,2083.0,2150.0,2200.0,2296.0,2350.0,2300.0,2400.0,2338.0,2400.0,2499.0,2500.0,2500.0,2600.0,2650.0,2654.0,2750.0,2750.0,2700.0,2600.0,2550.0,2700.0,2700.0,2700.0,2750.0,2700.0,2750.0,2800.0,2800.0,2750.0,2750.0,2695.0,2650.0,2650.0,2799.0,2799.0,2850.0,2800.0,2800.0,2815.0,2894.0,2900.0,2769.0,2799.0,2800.0,2800.0,2875.0,2850.0,2999.0,3001.0,3000.0,3000.0,2950.0,3000.0,3150.0,3000.0,3000.0,3000.0,3105.0,3100.0,3249.0,3200.0,3195.0,3295.0,3250.0
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,1100.0,1100.0,,1400.0,1400.0,1400.0,,2300.0,2000.0,2000.0,,1300.0,1300.0,1400.0,1400.0,1400.0,1400.0,1400.0,1100.0,1650.0,1450.0,1400.0,1450.0,1500.0,1500.0,,1400.0,1400.0,1400.0,2000.0,2000.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,,,,,1575.0,1500.0,1500.0,1500.0,,1500.0,1500.0,1500.0,,,,,,,,,,1550.0,,1800.0,1800.0,1650.0,1650.0,1650.0,1650.0,,,1800.0,1675.0,1675.0,1600.0,1600.0,1650.0,1650.0,,,,1700.0,,,,,,,1500.0,1800.0,1650.0,1500.0,1500.0,1725.0,,,1750.0,1550.0,,,,,,,,,,1699.0,1699.0,1750.0,1650.0,1600.0,,1500.0,,,,2268.0,1850.0,1850.0,,,,,,2200.0,,,,,2350.0,2350.0,1887.0,,,,,1950.0,1950.0,2100.0,2100.0,,1999.0,,,,2300.0,2200.0,,,2000.0,2000.0,,
