areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,1133.0,1500.0,1595.0,1400.0,1400.0,1306.0,1200.0,1200.0,1200.0,1250.0,1250.0,1200.0,1195.0,1195.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1500.0,1150.0,1200.0,1373.0,1150.0,1145.0,1300.0,1400.0,1675.0,1400.0,1400.0,1500.0,1809.0,1700.0,1150.0,1650.0,1350.0,1550.0,1450.0,1550.0,1600.0,1650.0,1499.0,1600.0,1600.0,1550.0,1700.0,1650.0,1650.0,1700.0,1500.0,1625.0,1650.0,1600.0,1650.0,1650.0,1680.0,1695.0,1550.0,1500.0,1500.0,1550.0,1625.0,1650.0,1750.0,1850.0,1650.0,1975.0,1625.0,1550.0,2000.0,1950.0,1850.0,1690.0,1599.0,1600.0,1700.0,1749.0,1650.0,1750.0,1795.0,1775.0,1750.0,1750.0,1675.0,1800.0,1795.0,1725.0,1700.0,1675.0,1700.0,1700.0,1675.0,1650.0,1865.0,1700.0,1650.0,1750.0,1791.0,1750.0,1700.0,1700.0,1775.0,1750.0,1890.0,1750.0,1750.0,1650.0,1600.0,1675.0,1650.0,1650.0,1700.0,1700.0,1750.0,1750.0,1850.0,1750.0,1695.0,1750.0,1675.0,1650.0,1725.0,1700.0,1650.0,1700.0,1700.0,1650.0,1650.0,1600.0,1510.0,1550.0,1550.0,1575.0,1525.0,1550.0,1600.0,1600.0,1650.0,1700.0,1675.0,1700.0,1725.0,1800.0,1750.0,1675.0,1700.0,1845.0,1700.0,2000.0,1938.0,1850.0,1899.0,1975.0,1950.0,1950.0,1995.0,1866.0,1950.0,1900.0,2100.0,2100.0,2150.0,2100.0,2200.0,2100.0,2100.0,2200.0,2095.0,2295.0,2375.0,2450.0,2350.0,2400.0,2350.0,2299.0,2300.0,2200.0,2249.0,2400.0,2400.0,2495.0,2404.0,2450.0,2298.0,2200.0,2400.0,2395.0,2533.0,2545.0,2500.0,2450.0,2400.0,2500.0,2500.0,2552.0,2600.0,2599.0,2600.0,2932.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.0,950.0,,,,,,,,,,,,,,,,,,1150.0,1150.0,,1695.0,1295.0,1295.0,,,,1195.0,,,,,,,,,,,1200.0,1100.0,,,,1595.0,1395.0,1395.0,1395.0,1395.0,2000.0,1595.0,1595.0,1595.0,1595.0,,,,,,,1595.0,1650.0,1395.0,1395.0,1495.0,1300.0,1495.0,1295.0,,,1595.0,1595.0,1595.0,1595.0,,,1595.0,,,,,1795.0,1695.0,1695.0,1795.0,1795.0,1595.0,1595.0,1595.0,1695.0,1695.0,1695.0,1595.0,1595.0,1495.0,1595.0,1595.0,1250.0,1895.0,1795.0,1400.0,1695.0,1695.0,1740.0,1740.0,1914.0,1914.0,1974.0,,2154.0,2154.0,2154.0,2154.0,2154.0,2034.0,2034.0,,,2154.0,2154.0,2154.0,3300.0,,,,,,,,,1700.0,1650.0,1650.0,1600.0,,2274.0,2274.0,2274.0,,,2274.0,2274.0,,,,1800.0,1800.0,1695.0,1695.0,,,,,,,,,,,,,,,,,,,,2750.0,2600.0,1800.0,1950.0
Bath Beach,Brooklyn,neighborhood,1350.0,1350.0,1350.0,1350.0,,,,,,,,,,,,,,800.0,800.0,800.0,950.0,800.0,800.0,800.0,800.0,800.0,825.0,825.0,825.0,1025.0,1025.0,1025.0,825.0,825.0,825.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,845.0,,875.0,875.0,,,,1025.0,975.0,975.0,3200.0,3200.0,3200.0,,,,,,,,,6000.0,6000.0,1295.0,6000.0,6000.0,6000.0,1250.0,1250.0,1250.0,1195.0,,,,,,,1295.0,,1395.0,1345.0,1395.0,1345.0,1395.0,1495.0,1425.0,1425.0,1500.0,,,1100.0,1000.0,,1150.0,1100.0,1100.0,1100.0,1595.0,4000.0,,1445.0,1495.0,1545.0,1399.0,1399.0,1100.0,1450.0,1450.0,1100.0,2199.0,1595.0,,,1200.0,1200.0,1495.0,2300.0,2300.0,2300.0,2299.0,1795.0,,1300.0,,1475.0,2450.0,2450.0,4000.0,1700.0,1700.0,1500.0,1500.0,1600.0,1575.0,1795.0,2000.0,1465.0,1550.0,1495.0,1575.0,1495.0,1495.0,1495.0,1350.0,1595.0,1595.0,1250.0,1699.0,1550.0,1550.0,1600.0,1595.0,1600.0,1350.0,1600.0,2100.0,1700.0,1700.0,1600.0,1650.0,1600.0,1600.0,1595.0,1650.0,1595.0,1595.0,1750.0,1700.0,1675.0,1625.0,1700.0,1725.0,1700.0,1699.0,1675.0,1675.0,1675.0,1675.0,1675.0,1675.0,1700.0,1700.0,1700.0,1750.0,1750.0,1750.0,1750.0,1750.0,1700.0,1700.0,1700.0,1725.0,1750.0,1750.0,1795.0,1750.0,1750.0,1750.0
Battery Park City,Manhattan,neighborhood,2550.0,2500.0,2500.0,2500.0,2795.0,2795.0,2795.0,2470.0,2470.0,2650.0,2595.0,2400.0,2490.0,2300.0,2300.0,2500.0,2395.0,2500.0,2465.0,2500.0,2600.0,2500.0,2400.0,2695.0,2750.0,2750.0,2610.0,2750.0,2660.0,2660.0,2700.0,2500.0,2650.0,2500.0,2600.0,2695.0,2800.0,2700.0,2695.0,2750.0,2650.0,2700.0,2650.0,2700.0,2750.0,2700.0,2750.0,2700.0,2750.0,2750.0,2800.0,2900.0,3135.0,2850.0,2795.0,2775.0,2850.0,2900.0,2900.0,2600.0,2800.0,3100.0,3000.0,2935.0,2990.0,3000.0,2900.0,2925.0,3200.0,3000.0,2900.0,3250.0,3195.0,3150.0,3150.0,3100.0,3100.0,3200.0,3200.0,3100.0,3200.0,3150.0,3110.0,2959.0,3150.0,3100.0,2950.0,2995.0,3050.0,2995.0,3000.0,3050.0,3050.0,3000.0,2795.0,2695.0,2741.0,2850.0,3100.0,3100.0,3100.0,3080.0,3150.0,3350.0,3370.0,3250.0,3050.0,2953.0,3180.0,3115.0,3205.0,3170.0,3200.0,3300.0,3450.0,3395.0,3300.0,3300.0,3300.0,3240.0,3300.0,3323.0,3323.0,3275.0,3275.0,2862.0,2800.0,2743.0,2779.0,2775.0,2605.0,2680.0,2800.0,2801.0,2800.0,2956.0,3000.0,3095.0,3400.0,3300.0,3475.0,3455.0,3500.0,3565.0,3500.0,3500.0,3545.0,3675.0,3800.0,3750.0,3995.0,4000.0,3745.0,3545.0,3385.0,3540.0,3498.0,3630.0,3715.0,3570.0,3945.0,4135.0,4085.0,3815.0,3890.0,3815.0,3570.0,3590.0,3475.0,3540.0,3900.0,3950.0,4110.0,4205.0,4099.0,4095.0,3895.0,3895.0,3915.0,3751.0,3878.0,3995.0,3877.0,4000.0,4384.0,4400.0,4101.0,4250.0,4094.0,4270.0,4154.0,3800.0,3855.0,4147.0,4034.0,4000.0,4478.0,4524.0,4276.0,4363.0
Bay Ridge,Brooklyn,neighborhood,850.0,850.0,975.0,900.0,1150.0,1050.0,1000.0,985.0,985.0,1100.0,1100.0,980.0,980.0,1650.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2650.0,1100.0,,,,,,3500.0,1150.0,1200.0,1200.0,1200.0,1200.0,1200.0,2700.0,3500.0,1200.0,1375.0,1325.0,1200.0,1150.0,1125.0,1100.0,1125.0,1300.0,1250.0,1250.0,1150.0,1200.0,1245.0,1200.0,1295.0,1300.0,1325.0,1395.0,1395.0,1400.0,1295.0,1325.0,1250.0,1250.0,1250.0,1200.0,1350.0,1395.0,1300.0,1300.0,1335.0,1325.0,1375.0,1350.0,1300.0,1400.0,1400.0,1350.0,1400.0,1400.0,1400.0,1400.0,1495.0,1495.0,1300.0,1300.0,1350.0,1350.0,1495.0,1400.0,1395.0,1485.0,1500.0,1485.0,1450.0,1495.0,1425.0,1450.0,1400.0,1550.0,1450.0,1400.0,1400.0,1500.0,1450.0,1450.0,1550.0,1590.0,1595.0,1475.0,1450.0,1550.0,1500.0,1500.0,1475.0,1475.0,1500.0,1595.0,1575.0,1550.0,1550.0,1500.0,1495.0,1460.0,1460.0,1525.0,1500.0,1575.0,1600.0,1600.0,1545.0,1550.0,1499.0,1450.0,1450.0,1400.0,1399.0,1375.0,1445.0,1425.0,1450.0,1450.0,1425.0,1475.0,1475.0,1450.0,1450.0,1475.0,1495.0,1500.0,1500.0,1525.0,1525.0,1525.0,1580.0,1550.0,1650.0,1550.0,1550.0,1600.0,1599.0,1595.0,1625.0,1650.0,1650.0,1725.0,1650.0,1665.0,1600.0,1650.0,1650.0,1620.0,1700.0,1650.0,1700.0,1695.0,1650.0,1700.0,1750.0,1750.0,1695.0,1675.0,1700.0,1750.0,1750.0,1825.0,1750.0,1750.0,1800.0,1850.0,1899.0,1900.0,1800.0,1750.0,1795.0,1995.0,1800.0,1800.0,1899.0,1750.0,1850.0,1850.0,1900.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,1250.0,1250.0,1500.0,1500.0,1500.0,1500.0,,,,,,,,,,3950.0,3950.0,3650.0,3650.0,1600.0,1600.0,1600.0,1600.0,1600.0,1400.0,1400.0,1400.0,1600.0,1600.0,1500.0,1500.0,800.0,800.0,1400.0,1400.0,,,,,,,,800.0,800.0,,,1250.0,1250.0,1175.0,1175.0,1175.0,1250.0,1250.0,5500.0,4700.0,4200.0,1500.0,1500.0,1350.0,1350.0,1350.0,1150.0,,,,,,,,1500.0,,,,,1449.0,1700.0,1700.0,1700.0,1700.0,1650.0,1650.0,1500.0,1200.0,1775.0,1775.0,1495.0,1495.0,1475.0,1475.0,1500.0,1599.0,1700.0,,1375.0,1475.0,1450.0,1425.0,1900.0,1850.0,1850.0,1850.0,1550.0,1550.0,1600.0,1625.0,1675.0,1675.0,1750.0,1750.0,1400.0,1450.0,1435.0,1650.0,1650.0,1440.0,1625.0,1582.0,1425.0,1425.0,1425.0,1675.0,1480.0,1475.0,1525.0,1675.0,1675.0,1675.0,1650.0,1600.0,1475.0,1850.0,1475.0,1475.0,1475.0,1475.0,1475.0,1475.0,1500.0,1450.0,1500.0,1700.0,1500.0,2500.0,1550.0,1750.0,1750.0,1575.0,1575.0,1600.0,1900.0,1425.0,1700.0,1750.0,1750.0,1750.0,1750.0,1800.0,2000.0,2000.0,,1600.0,1695.0,1695.0,1695.0,,1695.0,1700.0,1700.0,1700.0,1650.0,2150.0,2150.0,1785.0,1800.0,1800.0,1875.0,1600.0,1750.0,1750.0,1850.0,1875.0,1950.0,1850.0,1800.0,1900.0,1950.0,2000.0,1995.0,1850.0,1695.0,1900.0,1850.0,1850.0,1895.0,1875.0,1950.0,2050.0,2050.0,2100.0,2100.0
Bedford Park,Bronx,neighborhood,,795.0,795.0,,,795.0,795.0,,,,,,,,,,825.0,,,,825.0,,,,,,,900.0,825.0,,800.0,875.0,875.0,850.0,850.0,850.0,850.0,,845.0,845.0,,,875.0,850.0,,,,,,,900.0,988.0,,925.0,1200.0,1250.0,1175.0,1200.0,1200.0,1150.0,1200.0,1200.0,1275.0,1250.0,1050.0,1100.0,1200.0,900.0,950.0,950.0,1150.0,1300.0,1300.0,1295.0,1275.0,1295.0,1295.0,1275.0,1325.0,1325.0,1325.0,1325.0,1250.0,1325.0,1325.0,1275.0,1375.0,1350.0,1350.0,1050.0,1295.0,1350.0,1375.0,1350.0,1350.0,,1275.0,1100.0,1300.0,1100.0,1275.0,1300.0,1250.0,1250.0,1300.0,1450.0,,,,1300.0,1300.0,1325.0,1325.0,1325.0,1550.0,1350.0,1350.0,1275.0,1302.0,1330.0,1330.0,,1178.0,,,1325.0,1325.0,1550.0,1450.0,1425.0,,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,,1450.0,1450.0,1295.0,,,1500.0,1500.0,1525.0,1500.0,1495.0,1495.0,1530.0,1530.0,1550.0,1450.0,1450.0,1550.0,1495.0,1600.0,1600.0,1600.0,1595.0,1600.0,1550.0,1850.0,1895.0,1008.0,1400.0,1800.0,2584.0,1427.0,1425.0,1425.0,1450.0,,,1725.0,1450.0,1450.0,,,1600.0,1595.0,,1650.0,1595.0,,1550.0,1450.0,2600.0,1500.0,1825.0,1825.0,,1450.0,1775.0,1775.0,1750.0,1710.0
Bedford-Stuyvesant,Brooklyn,neighborhood,1100.0,1250.0,800.0,1100.0,1500.0,1500.0,1100.0,1050.0,1150.0,1600.0,1650.0,1675.0,1675.0,1500.0,1300.0,1500.0,1350.0,1400.0,1400.0,1450.0,1350.0,1500.0,1400.0,1500.0,1400.0,1200.0,1200.0,2000.0,1300.0,1200.0,1200.0,1145.0,1600.0,1475.0,1600.0,1750.0,1500.0,1500.0,1500.0,1500.0,1300.0,1400.0,1400.0,1450.0,1500.0,1400.0,1400.0,1400.0,1400.0,1450.0,1400.0,1400.0,1400.0,1575.0,1500.0,1500.0,1500.0,1625.0,1645.0,1500.0,1500.0,1600.0,1670.0,1670.0,1600.0,1700.0,1800.0,1600.0,1649.0,1600.0,1600.0,1650.0,1650.0,1700.0,1695.0,1695.0,1750.0,1850.0,1895.0,1895.0,1830.0,1850.0,1800.0,1700.0,1750.0,1700.0,1700.0,1700.0,1700.0,1800.0,1899.0,1900.0,1899.0,1950.0,1789.0,1650.0,1845.0,1925.0,1920.0,1795.0,1775.0,1700.0,1920.0,1950.0,1995.0,1995.0,2000.0,1999.0,1920.0,1800.0,1950.0,1925.0,1850.0,1799.0,1946.0,1929.0,1800.0,1925.0,1895.0,1850.0,1875.0,2100.0,1800.0,1775.0,1850.0,1900.0,1850.0,1800.0,1750.0,1708.0,1700.0,1749.0,1700.0,1700.0,1745.0,1745.0,1700.0,1800.0,1850.0,1985.0,1950.0,2000.0,2039.0,2100.0,1900.0,1950.0,1900.0,1995.0,2177.0,2300.0,2250.0,2727.0,2500.0,2400.0,2390.0,2400.0,2450.0,2600.0,2595.0,2500.0,2495.0,2400.0,2400.0,2500.0,2455.0,2395.0,2350.0,2450.0,2599.0,2395.0,2400.0,2500.0,2500.0,2475.0,2499.0,2500.0,2600.0,2499.0,2625.0,2600.0,2595.0,2495.0,2400.0,2499.0,2695.0,2693.0,2699.0,2700.0,2725.0,2725.0,2800.0,2599.0,2550.0,2699.0,2570.0,2550.0,2695.0,2750.0,2725.0,2700.0
Bellerose,Queens,neighborhood,1150.0,1150.0,1150.0,975.0,975.0,950.0,950.0,875.0,875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.0,1325.0,,,,,,,,,,,1375.0,1375.0,,1300.0,1300.0,1300.0,1300.0,1200.0,,,,,,,1350.0,,,,,,,,,,,,,1300.0,1300.0,,,,,,,,,1450.0,1450.0,,,,,,,1300.0,,,,,,,,1350.0,,,,,,1500.0,1400.0,,,,1350.0,1350.0,1350.0,1200.0,,,,,,,,,,,,,,,,,,,,,1600.0,1600.0,,,,,,,2100.0,1900.0,1900.0,,,,,,,1850.0,,,,,
