areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,2000.0,2100.0,2000.0,2000.0,1900.0,1900.0,2400.0,2400.0,1900.0,1875.0,1900.0,1900.0,1900.0,1950.0,1999.0,2200.0,2000.0,2200.0,2000.0,2300.0,2500.0,2300.0,2400.0,2400.0,2400.0,3000.0,2800.0,2950.0,2500.0,3295.0,3500.0,3000.0,3000.0,2600.0,2500.0,2500.0,2500.0,2500.0,2500.0,3000.0,2800.0,2700.0,2600.0,2750.0,2900.0,3000.0,3000.0,2950.0,2800.0,2800.0,2800.0,2800.0,2853.0,2853.0,2900.0,3000.0,3000.0,2995.0,2800.0,2800.0,2900.0,3000.0,3000.0,3000.0,2850.0,2800.0,2800.0,2999.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3100.0,3000.0,3000.0,3000.0,3000.0,3100.0,3000.0,3000.0,3000.0,2999.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2980.0,2900.0,2900.0,2950.0,2900.0,2900.0,2800.0,2850.0,2895.0,2837.0,2900.0,2950.0,2950.0,3000.0,2995.0,2800.0,2750.0,2900.0,2900.0,2946.0,2950.0,3000.0,3000.0,2900.0,2900.0,2900.0,2950.0,2850.0,2900.0,3000.0,3000.0,2950.0,2995.0,3000.0,3000.0,2950.0,2950.0,2900.0,2800.0,2750.0,2700.0,2600.0,2600.0,2650.0,2670.0,2700.0,2750.0,2800.0,2850.0,3000.0,2900.0,2850.0,2949.0,2850.0,2900.0,2895.0,3000.0,3050.0,3100.0,3200.0,3250.0,3500.0,3500.0,3500.0,3300.0,3500.0,3400.0,3300.0,3200.0,3200.0,3500.0,3650.0,3800.0,3700.0,3599.0,3600.0,3500.0,3500.0,3600.0,3600.0,3500.0,3799.0,3800.0,3600.0,3600.0,3799.0,3700.0,3750.0,3600.0,3799.0,3650.0,3650.0,3750.0,3900.0,3850.0,3850.0,3999.0,4195.0,4000.0,3750.0,3800.0,3700.0,3800.0,3950.0,3900.0,4000.0,4150.0,4395.0,4495.0,4300.0
Auburndale,Queens,neighborhood,1900.0,,,2400.0,2400.0,2400.0,,,,,,,,,,,2000.0,2000.0,2000.0,2000.0,2000.0,1950.0,1900.0,1900.0,2000.0,2000.0,2200.0,2200.0,2200.0,2200.0,2200.0,1900.0,2200.0,2200.0,2200.0,2200.0,2200.0,2400.0,2200.0,2200.0,2100.0,,,1750.0,2000.0,2000.0,2400.0,,2300.0,2100.0,2100.0,2000.0,2000.0,,1950.0,1950.0,2500.0,2500.0,2400.0,2350.0,2350.0,2300.0,2300.0,2350.0,2000.0,2000.0,1950.0,2000.0,2800.0,2095.0,2000.0,2000.0,2900.0,3400.0,3150.0,2300.0,2600.0,2600.0,2600.0,2600.0,2500.0,2295.0,2495.0,2500.0,2495.0,2349.0,2349.0,2549.0,2700.0,2650.0,2800.0,2800.0,2650.0,2700.0,2700.0,2500.0,2500.0,2600.0,2600.0,2495.0,2600.0,2500.0,2800.0,2590.0,2495.0,2295.0,2295.0,2650.0,2395.0,2500.0,2395.0,2300.0,2495.0,2495.0,2495.0,2500.0,2599.0,2600.0,2495.0,2900.0,3799.0,3300.0,2500.0,2100.0,2395.0,2600.0,2750.0,2650.0,2650.0,2400.0,2503.0,2503.0,2800.0,2750.0,2750.0,2750.0,2750.0,2500.0,2300.0,2800.0,2800.0,2750.0,2750.0,3000.0,2500.0,3114.0,2600.0,2545.0,2994.0,3114.0,3400.0,2800.0,3600.0,3000.0,3114.0,3114.0,2700.0,3200.0,2850.0,3000.0,3000.0,2800.0,3200.0,3000.0,3500.0,3295.0,3500.0,3354.0,2995.0,3250.0,3300.0,3150.0,3150.0,4250.0,2900.0,3600.0,3000.0,2600.0,2500.0,3300.0,3300.0,5550.0,3200.0,3100.0,3200.0,3400.0,2900.0,3650.0,3800.0,3400.0,3195.0,3400.0,3500.0,4000.0,3300.0,3500.0,3500.0,3500.0,3000.0,3700.0
Bath Beach,Brooklyn,neighborhood,1600.0,1600.0,,2250.0,1700.0,1700.0,,1500.0,1500.0,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1540.0,1540.0,1700.0,1800.0,1800.0,1800.0,2600.0,2600.0,,3000.0,3000.0,,,1895.0,1895.0,4000.0,4000.0,4000.0,3000.0,3950.0,3950.0,3950.0,3950.0,3200.0,2300.0,2250.0,2100.0,2100.0,2250.0,2250.0,2500.0,2500.0,1750.0,2500.0,2100.0,2000.0,1850.0,1850.0,1850.0,2200.0,2095.0,2200.0,2200.0,2200.0,2200.0,2100.0,2200.0,2200.0,2500.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2300.0,2500.0,2600.0,2350.0,2400.0,2400.0,2400.0,2395.0,2395.0,2100.0,2295.0,2295.0,2400.0,2200.0,2395.0,2200.0,2200.0,2150.0,2200.0,2300.0,2200.0,2600.0,2500.0,2500.0,2300.0,2200.0,2500.0,2350.0,2300.0,2400.0,2400.0,2400.0,2400.0,2400.0,2450.0,2300.0,2500.0,2600.0,2700.0,2300.0,2400.0,2400.0,2600.0,2600.0,2600.0,2600.0,2600.0,2350.0,2300.0,2600.0,2600.0,2300.0,2600.0,2550.0,2400.0,2400.0,2500.0,2499.0,2400.0,2700.0,2500.0,2400.0,2300.0,2600.0,2600.0,2600.0,2500.0,2300.0,2500.0,2500.0,2500.0,2600.0,3000.0,3000.0,2800.0,2800.0,2600.0,3000.0,2800.0,2750.0,3100.0,3000.0,2800.0,2700.0,2800.0,2600.0,2650.0,2600.0,2800.0,2800.0,2900.0,3000.0,2899.0,3200.0,3200.0,3200.0,3200.0,3000.0,3088.0,3000.0,2795.0,2600.0,3200.0,4150.0,3299.0,3500.0,3300.0,3295.0,,,3399.0,3250.0,3250.0,3250.0,3250.0,2800.0,3300.0,3200.0
Battery Park City,Manhattan,neighborhood,7895.0,7500.0,7500.0,9000.0,9900.0,9900.0,11500.0,10200.0,10200.0,9995.0,8500.0,9500.0,9095.0,8750.0,11900.0,11995.0,12500.0,11000.0,11950.0,11900.0,10500.0,9500.0,9950.0,10000.0,9500.0,9500.0,9500.0,9800.0,9650.0,9500.0,9500.0,9595.0,9950.0,9950.0,9550.0,9550.0,9700.0,9995.0,9995.0,9850.0,9850.0,10750.0,9995.0,10800.0,10089.0,10000.0,10000.0,9595.0,9950.0,8650.0,9350.0,10500.0,12000.0,10700.0,11250.0,12500.0,12500.0,12500.0,12500.0,13000.0,12000.0,10100.0,13750.0,13000.0,12990.0,13320.0,13000.0,12500.0,12500.0,12500.0,12000.0,12000.0,12500.0,11900.0,11791.0,12000.0,12000.0,12000.0,11900.0,12500.0,10900.0,10500.0,10750.0,11500.0,11800.0,12000.0,11500.0,11500.0,11500.0,12000.0,11700.0,11635.0,11635.0,12750.0,10900.0,12500.0,9450.0,12500.0,13000.0,13000.0,13000.0,13000.0,13000.0,12500.0,12000.0,12000.0,12999.0,11000.0,11500.0,13650.0,12950.0,12000.0,12000.0,11350.0,10600.0,10600.0,10450.0,10900.0,10900.0,12500.0,10500.0,11500.0,11500.0,7900.0,10800.0,10800.0,11000.0,11400.0,10950.0,11000.0,11552.0,10950.0,10600.0,12050.0,10600.0,11250.0,10000.0,11250.0,10948.0,10350.0,13000.0,16500.0,10500.0,10495.0,9927.0,9927.0,10000.0,15995.0,15995.0,17000.0,13500.0,12995.0,13500.0,15000.0,12000.0,15995.0,16000.0,16000.0,15000.0,18000.0,14000.0,13125.0,12950.0,11000.0,11000.0,10810.0,12775.0,9895.0,13500.0,14000.0,13500.0,12950.0,14500.0,14500.0,12500.0,12500.0,14000.0,13500.0,13500.0,13951.0,11800.0,10155.0,10168.0,17550.0,17550.0,16875.0,16875.0,14975.0,14500.0,13500.0,13500.0,13500.0,12750.0,16750.0,17500.0,15000.0,12950.0,13500.0,15500.0,16000.0
Bay Ridge,Brooklyn,neighborhood,1950.0,2000.0,2000.0,1500.0,1700.0,1700.0,1675.0,1800.0,1800.0,1800.0,2200.0,2000.0,2000.0,1750.0,1750.0,1850.0,1950.0,2000.0,2000.0,2200.0,2100.0,2500.0,2400.0,2100.0,2300.0,1800.0,2300.0,3500.0,3500.0,2100.0,2350.0,2500.0,2250.0,2300.0,2900.0,3500.0,3500.0,3095.0,2700.0,2625.0,2500.0,2695.0,2750.0,2300.0,2695.0,2600.0,2400.0,2400.0,2300.0,2495.0,2500.0,2675.0,2400.0,2650.0,2600.0,2650.0,2700.0,2600.0,2500.0,2500.0,2500.0,2600.0,2500.0,2500.0,2500.0,2500.0,2600.0,3000.0,2900.0,2500.0,2500.0,2650.0,2500.0,2500.0,2700.0,2649.0,2600.0,2600.0,2600.0,2700.0,2700.0,2600.0,2600.0,2600.0,2500.0,2500.0,2400.0,2450.0,2500.0,2600.0,2600.0,2599.0,2600.0,2595.0,2600.0,2700.0,2600.0,2500.0,2500.0,2550.0,2500.0,2500.0,2500.0,2550.0,2500.0,2550.0,2600.0,2600.0,2600.0,2600.0,2600.0,2650.0,2700.0,2690.0,2700.0,2700.0,2600.0,2600.0,2600.0,2650.0,2600.0,2500.0,2550.0,2650.0,2700.0,2600.0,2600.0,2600.0,2500.0,2500.0,2500.0,2600.0,2690.0,2600.0,2700.0,2500.0,2600.0,2600.0,2650.0,2500.0,2500.0,2595.0,2649.0,2650.0,2650.0,2600.0,2800.0,2900.0,2799.0,2799.0,3000.0,3000.0,3050.0,3000.0,3000.0,3000.0,3000.0,3000.0,3100.0,3300.0,3000.0,3000.0,3000.0,3300.0,3300.0,3000.0,2999.0,2999.0,3495.0,3250.0,3400.0,3400.0,3250.0,3400.0,3500.0,3400.0,3200.0,3500.0,3500.0,3500.0,3499.0,3450.0,3450.0,3700.0,3500.0,3600.0,3600.0,3600.0,3750.0,3800.0,3600.0,3600.0,3600.0,3450.0,3500.0,3500.0,3500.0,3399.0,3600.0,3750.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,1650.0,1650.0,,,,,,,,,,,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2495.0,2250.0,2250.0,,,,,,,,,,,,,,,,,,,,2200.0,2200.0,,2200.0,2200.0,,,,,,2400.0,,5950.0,5950.0,4250.0,4250.0,2350.0,2350.0,2350.0,2100.0,2100.0,2100.0,2100.0,2200.0,2850.0,2850.0,2850.0,,,,,,,,,,2300.0,3995.0,2300.0,2400.0,,2650.0,,,,,3000.0,,,2500.0,2500.0,,,2700.0,2700.0,,,2600.0,,,2700.0,3500.0,2700.0,3500.0,,2900.0,3385.0,,3200.0,3200.0,,,,2800.0,2800.0,,,,,,,,,,,5950.0,5950.0,5950.0,5950.0,6495.0,3750.0
Bayside,Queens,neighborhood,1750.0,1750.0,1650.0,,,,,,,,,2950.0,,,2700.0,2550.0,2100.0,1795.0,2100.0,2150.0,2150.0,1950.0,1995.0,1995.0,1900.0,1900.0,1950.0,1900.0,2150.0,2100.0,2150.0,2150.0,2300.0,1900.0,1900.0,1900.0,1900.0,2050.0,2050.0,2150.0,2150.0,2150.0,1975.0,2150.0,2150.0,2150.0,1950.0,2150.0,1950.0,2150.0,2200.0,2150.0,2200.0,2550.0,2550.0,2600.0,2350.0,2350.0,2300.0,2300.0,2300.0,2275.0,2300.0,2300.0,2300.0,2550.0,2600.0,2500.0,2550.0,2550.0,2500.0,2500.0,3000.0,2600.0,2650.0,2650.0,2600.0,2800.0,2800.0,2800.0,2800.0,2800.0,2695.0,2695.0,2695.0,2600.0,2550.0,2550.0,2500.0,2600.0,2600.0,2700.0,3200.0,2995.0,2975.0,2750.0,2700.0,2699.0,2700.0,2500.0,2500.0,2500.0,2700.0,2500.0,2900.0,2750.0,2500.0,2500.0,2500.0,2500.0,2600.0,2450.0,2800.0,2800.0,2800.0,2500.0,2550.0,2600.0,2600.0,2600.0,2750.0,3000.0,3000.0,3000.0,3000.0,2600.0,2800.0,2699.0,3000.0,2475.0,2475.0,2800.0,2800.0,2500.0,2500.0,2500.0,2599.0,2580.0,2550.0,2700.0,2700.0,2550.0,2500.0,2800.0,2800.0,2700.0,2850.0,3080.0,2850.0,3600.0,3500.0,3500.0,2795.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2700.0,3000.0,3000.0,3350.0,3500.0,3500.0,2900.0,2900.0,3000.0,3200.0,3300.0,3500.0,3500.0,3800.0,3500.0,3500.0,3200.0,3200.0,3100.0,3000.0,3300.0,4700.0,3800.0,3850.0,3600.0,3300.0,3850.0,4400.0,4300.0,3800.0,3600.0,3100.0,3400.0,3450.0,3450.0,4200.0,3600.0,3300.0,3500.0,3700.0
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,1425.0,1425.0,,,,,,,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,1600.0,2400.0,2400.0,1600.0,1600.0,1600.0,1600.0,1600.0,2300.0,1875.0,2053.0,2200.0,1999.0,2350.0,1999.0,2400.0,2400.0,1999.0,2400.0,2300.0,2300.0,3500.0,2295.0,2295.0,2850.0,2500.0,2200.0,2200.0,2200.0,2200.0,1900.0,1975.0,1950.0,2100.0,2100.0,1995.0,2250.0,2050.0,2150.0,2150.0,2150.0,2500.0,2700.0,2700.0,2200.0,1900.0,1900.0,1900.0,,2600.0,2300.0,2750.0,2400.0,2695.0,2695.0,2750.0,,1999.0,1999.0,1999.0,1850.0,1850.0,2000.0,2000.0,2150.0,3000.0,2250.0,2050.0,2200.0,2500.0,,,,2500.0,,,,,,2600.0,2600.0,2600.0,3000.0,,2650.0,2595.0,2300.0,2300.0,2450.0,2450.0,2200.0,2400.0,2350.0,2350.0,2500.0,2850.0,2850.0,2795.0,2795.0,2795.0,2250.0,2795.0,2850.0,2850.0,2850.0,2800.0,2495.0,2350.0,2300.0,2395.0,2650.0,,1900.0,,,2200.0,2200.0,2200.0,2165.0,2500.0,2500.0,,,3213.0,,,3000.0,3000.0,3770.0,2995.0,2995.0,,,,,,,,,2695.0,2950.0,,,,3750.0,3700.0,3700.0
Bedford-Stuyvesant,Brooklyn,neighborhood,1900.0,1900.0,2000.0,2050.0,2000.0,2000.0,2000.0,1850.0,1900.0,2095.0,2400.0,2800.0,3000.0,1600.0,2000.0,2100.0,2100.0,2000.0,2050.0,1900.0,2100.0,2200.0,2400.0,2200.0,2100.0,2200.0,1950.0,2200.0,2000.0,2300.0,2400.0,2400.0,2400.0,2200.0,2500.0,2500.0,2500.0,2500.0,2600.0,2600.0,2700.0,2700.0,2700.0,2795.0,2800.0,2750.0,2750.0,2750.0,2800.0,2800.0,2800.0,2800.0,2750.0,2800.0,2800.0,3000.0,2985.0,2950.0,2790.0,2750.0,2795.0,2800.0,2800.0,2800.0,2799.0,2795.0,2800.0,2850.0,2875.0,2900.0,3000.0,2945.0,2850.0,2850.0,2900.0,2992.0,3000.0,3000.0,3000.0,3000.0,3000.0,2999.0,2895.0,2800.0,2841.0,2800.0,2800.0,2900.0,2995.0,2975.0,2975.0,2999.0,3000.0,2999.0,2795.0,2750.0,2800.0,2800.0,2900.0,2850.0,2850.0,2995.0,3025.0,2995.0,2998.0,2995.0,2800.0,2800.0,2800.0,2799.0,2800.0,2850.0,2999.0,3000.0,2999.0,3025.0,3200.0,3200.0,3100.0,3000.0,2972.0,3000.0,3000.0,3000.0,3000.0,2950.0,2900.0,2823.0,2749.0,2650.0,2600.0,2500.0,2500.0,2500.0,2500.0,2695.0,2725.0,2800.0,2999.0,3150.0,3299.0,3200.0,3282.0,3200.0,3250.0,3400.0,3400.0,3300.0,3499.0,3650.0,3990.0,3995.0,3800.0,3650.0,3500.0,3400.0,3495.0,3599.0,3500.0,3695.0,3800.0,3800.0,3850.0,3895.0,3999.0,3650.0,3600.0,3600.0,3500.0,3520.0,3600.0,3799.0,3950.0,3999.0,3895.0,3900.0,3849.0,3845.0,3700.0,3700.0,3618.0,3700.0,3899.0,3999.0,4000.0,4250.0,4175.0,4199.0,4095.0,4000.0,4000.0,4000.0,3995.0,3950.0,3900.0,4100.0,4295.0,4400.0,4495.0,4495.0
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2500.0,2200.0,2200.0,2200.0,2200.0,2600.0,2200.0,2200.0,2100.0,2100.0,2100.0,2100.0,2600.0,2600.0,2100.0,2100.0,3000.0,2400.0,2400.0,2200.0,2200.0,2200.0,1800.0,2300.0,2300.0,2300.0,2500.0,2500.0,2500.0,2500.0,2500.0,2200.0,2800.0,2499.0,2499.0,2499.0,2400.0,2250.0,2300.0,2300.0,2999.0,,,2500.0,2200.0,1900.0,,2950.0,2950.0,2200.0,,2000.0,2000.0,,2550.0,2550.0,2550.0,2550.0,2550.0,1900.0,2550.0,2550.0,2550.0,2300.0,2550.0,2550.0,2550.0,2550.0,2550.0,2650.0,2550.0,2550.0,2395.0,2395.0,2395.0,2550.0,2550.0,2550.0,2550.0,,,,,,2350.0,2100.0,3000.0,,,,,,,,3000.0,,,,,,2500.0,2500.0,3500.0,,,,3250.0,2500.0,2800.0,2800.0,2800.0,2400.0,2299.0,3000.0,,,2500.0,3200.0,2550.0,3000.0,,,3800.0,3800.0,2800.0,4500.0,2500.0,,,3400.0,4000.0,,,,,3500.0,3450.0,,,,3550.0,3550.0,3600.0,3200.0,3400.0,,,,3850.0,,,,,2800.0
