areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
Astoria,Queens,neighborhood,1700.0,1800.0,1800.0,1800.0,1939.0,1875.0,1750.0,2000.0,1800.0,1895.0,1725.0,2000.0,2000.0,2000.0,2000.0,2200.0,2200.0,2000.0,2000.0,2100.0,2300.0,2300.0,2000.0,2000.0,2075.0,2295.0,2100.0,2250.0,2450.0,2400.0,2499.0,2500.0,2395.0,2200.0,2000.0,2100.0,2100.0,2000.0,2000.0,2100.0,2300.0,2300.0,2350.0,2200.0,2200.0,2200.0,2200.0,2150.0,2150.0,2100.0,2100.0,2200.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2250.0,2200.0,2400.0,2400.0,2350.0,2399.0,2300.0,2300.0,2300.0,2350.0,2400.0,2375.0,2350.0,2300.0,2350.0,2400.0,2400.0,2350.0,2400.0,2400.0,2400.0,2400.0,2400.0,2350.0,2350.0,2400.0,2390.0,2300.0,2300.0,2350.0,2300.0,2395.0,2400.0,2399.0,2300.0,2300.0,2350.0,2300.0,2350.0,2300.0,2300.0,2295.0,2300.0,2299.0,2300.0,2300.0,2300.0,2300.0,2300.0,2295.0,2300.0,2299.0,2300.0,2300.0,2300.0,2350.0,2395.0,2400.0,2400.0,2400.0,2400.0,2400.0,2450.0,2500.0,2450.0,2399.0,2350.0,2395.0,2300.0,2300.0,2200.0,2195.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2175.0,2200.0,2300.0,2300.0,2299.0,2300.0,2400.0,2400.0,2449.0,2400.0,2500.0,2600.0,2700.0,2741.0,2895.0,2850.0,2800.0,2750.0,2745.0,2700.0,2795.0,2850.0,2800.0,2800.0,2850.0,2999.0,2999.0,2950.0,2999.0,2950.0,3000.0,3000.0,3200.0,3250.0,3200.0,3200.0,3200.0,3200.0,3175.0,3000.0,3000.0,3000.0,2925.0,3000.0,3100.0,3089.0,3200.0,3200.0,3400.0,3700.0,3700.0,3500.0,3500.0,3500.0,3500.0,3499.0,3500.0,3300.0,3400.0,3500.0,3950.0,4095.0,4100.0
Auburndale,Queens,neighborhood,1585.0,1490.0,1490.0,,,,,,,,,,,2000.0,1850.0,1850.0,1850.0,2200.0,1200.0,2200.0,2200.0,,1380.0,1380.0,1600.0,1600.0,1600.0,1600.0,1475.0,1475.0,1700.0,,,,1450.0,1450.0,1450.0,1600.0,1800.0,1800.0,2400.0,,,1550.0,1550.0,1650.0,1595.0,1495.0,,1700.0,1700.0,1900.0,1900.0,1775.0,1695.0,2000.0,1800.0,1600.0,1600.0,1600.0,1795.0,2250.0,2300.0,2300.0,1800.0,1995.0,1995.0,1995.0,1995.0,1995.0,,1800.0,1900.0,1995.0,2000.0,1850.0,1800.0,1895.0,1995.0,1995.0,2100.0,1825.0,1825.0,2195.0,,1995.0,1995.0,1800.0,1800.0,1850.0,1995.0,1995.0,1995.0,1800.0,1800.0,1995.0,1995.0,2095.0,2095.0,2095.0,2095.0,2095.0,1850.0,2000.0,2000.0,2095.0,2095.0,2000.0,2095.0,1900.0,1900.0,2000.0,2000.0,2195.0,2195.0,2195.0,2195.0,2000.0,2095.0,2095.0,2000.0,2000.0,2000.0,,2100.0,2000.0,2295.0,2200.0,2095.0,2150.0,2000.0,2176.0,2200.0,2100.0,2150.0,2200.0,2200.0,1900.0,2050.0,2050.0,2200.0,2200.0,2754.0,,2754.0,2150.0,2056.0,2056.0,2500.0,2500.0,,1950.0,2300.0,2400.0,2027.0,2167.0,2300.0,2600.0,2100.0,2050.0,2500.0,2400.0,2400.0,2874.0,2874.0,2350.0,2400.0,2400.0,2500.0,,3200.0,2650.0,2600.0,2700.0,2565.0,2500.0,2500.0,2700.0,2695.0,2650.0,2775.0,2800.0,2500.0,2500.0,2395.0,2700.0,2450.0,2600.0,3200.0,2500.0,2400.0,2650.0,2500.0,2450.0,2500.0,2300.0,2300.0,2658.0,2600.0,2600.0
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,2200.0,2200.0,2200.0,1295.0,1295.0,1295.0,1500.0,1500.0,1550.0,1450.0,1450.0,1450.0,1295.0,1295.0,1295.0,1350.0,1350.0,,1295.0,1295.0,1300.0,,,,1600.0,1600.0,,,,,1400.0,1625.0,1650.0,1650.0,1650.0,1500.0,1500.0,,1600.0,1600.0,1600.0,1600.0,1700.0,,,1750.0,1750.0,1750.0,2000.0,2000.0,1795.0,1700.0,1750.0,1800.0,1850.0,1950.0,1875.0,2045.0,1895.0,1895.0,1800.0,1795.0,1795.0,2000.0,1850.0,1850.0,1800.0,1900.0,1900.0,1900.0,1900.0,1900.0,1850.0,1750.0,1799.0,1950.0,1950.0,2000.0,1875.0,1800.0,1800.0,2000.0,1950.0,1950.0,1900.0,1995.0,2000.0,2050.0,1950.0,1795.0,1800.0,1799.0,1725.0,1799.0,1850.0,1900.0,1850.0,1799.0,1795.0,1775.0,1800.0,2100.0,1995.0,1975.0,1975.0,1800.0,2000.0,2000.0,1900.0,1900.0,2200.0,2520.0,2150.0,1995.0,1995.0,1995.0,1900.0,1799.0,1874.0,1900.0,2000.0,2000.0,1900.0,1800.0,1800.0,1750.0,1725.0,1750.0,1750.0,1799.0,1850.0,1850.0,1995.0,2095.0,1950.0,1950.0,2200.0,2150.0,2100.0,2099.0,1900.0,2100.0,2075.0,1960.0,2100.0,2100.0,2100.0,1950.0,2000.0,2250.0,2500.0,2400.0,2299.0,2200.0,2100.0,2400.0,2599.0,2300.0,2150.0,2350.0,2250.0,2200.0,2300.0,2550.0,3450.0,2295.0,2250.0,2500.0,2900.0,2099.0,2395.0,2350.0,2750.0,2050.0,2675.0,2300.0,2550.0,2400.0,2400.0,2800.0,2300.0,2500.0,2500.0,2650.0,2700.0,2700.0
Battery Park City,Manhattan,neighborhood,4950.0,4880.0,4500.0,4500.0,5095.0,5695.0,5595.0,5195.0,4950.0,5395.0,5500.0,5395.0,5395.0,5100.0,5500.0,5400.0,5700.0,5700.0,5685.0,5595.0,5415.0,5799.0,5330.0,5395.0,5495.0,5675.0,5560.0,5800.0,5900.0,6100.0,6250.0,6250.0,6245.0,5995.0,5800.0,6395.0,6250.0,6250.0,6295.0,6500.0,6500.0,6500.0,6275.0,5990.0,6000.0,5900.0,6000.0,6250.0,6195.0,6100.0,6250.0,6100.0,6345.0,6700.0,6500.0,6500.0,6500.0,6500.0,5300.0,5700.0,6150.0,6500.0,6895.0,6895.0,6895.0,6600.0,6950.0,6950.0,6875.0,6750.0,6650.0,6800.0,6630.0,6500.0,6700.0,6700.0,6905.0,6988.0,6700.0,6585.0,6508.0,6508.0,6692.0,6600.0,6900.0,6850.0,6900.0,7055.0,7000.0,7200.0,6775.0,6666.0,6995.0,6500.0,6695.0,6500.0,6200.0,5960.0,6200.0,6900.0,6900.0,6900.0,6950.0,6975.0,6490.0,6450.0,6720.0,6600.0,6995.0,6950.0,6900.0,6800.0,6990.0,7395.0,6918.0,6975.0,6700.0,6700.0,6995.0,6800.0,6760.0,6750.0,7250.0,7250.0,6900.0,6895.0,6798.0,6821.0,6462.0,6500.0,5999.0,6600.0,6500.0,6450.0,5900.0,6485.0,6495.0,6900.0,7250.0,7000.0,6400.0,6400.0,5995.0,5800.0,5800.0,6495.0,7200.0,7878.0,8500.0,8435.0,8250.0,8500.0,8500.0,7700.0,8000.0,7000.0,7700.0,8500.0,8215.0,7995.0,8664.0,8569.0,7999.0,8230.0,8230.0,8100.0,7500.0,8110.0,7250.0,7295.0,7895.0,8495.0,8400.0,8500.0,8899.0,8600.0,8600.0,8640.0,6967.0,6770.0,6953.0,7944.0,7367.0,7950.0,7877.0,8500.0,7750.0,7561.0,8000.0,8262.0,7700.0,7153.0,7312.0,7951.0,7993.0,8083.0,7733.0,7977.0,8097.0,7505.0
Bay Ridge,Brooklyn,neighborhood,1700.0,1800.0,1700.0,1550.0,1500.0,1650.0,1500.0,1550.0,1550.0,1500.0,1600.0,1600.0,1600.0,1500.0,1500.0,1500.0,1650.0,1700.0,1850.0,1800.0,1800.0,1700.0,1850.0,2300.0,2100.0,2100.0,1900.0,1800.0,1850.0,1800.0,1800.0,2200.0,2300.0,2100.0,1990.0,2300.0,2095.0,1800.0,2095.0,2100.0,2000.0,1995.0,2000.0,2000.0,2000.0,1900.0,1900.0,1900.0,1950.0,1950.0,1875.0,1875.0,2000.0,2200.0,2100.0,2100.0,2095.0,2150.0,2150.0,2100.0,2100.0,2100.0,2000.0,2100.0,2075.0,2050.0,2250.0,2300.0,2250.0,2200.0,2100.0,2100.0,2100.0,2200.0,2200.0,2200.0,2200.0,2200.0,2250.0,2295.0,2200.0,2200.0,2200.0,2250.0,2200.0,2150.0,2150.0,2200.0,2200.0,2200.0,2200.0,2095.0,2150.0,2195.0,2150.0,2150.0,2195.0,2100.0,2150.0,2150.0,2100.0,2200.0,2175.0,2195.0,2200.0,2150.0,2195.0,2100.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2150.0,2150.0,2300.0,2250.0,2250.0,2300.0,2300.0,2300.0,2300.0,2400.0,2200.0,2299.0,2200.0,2225.0,2200.0,2100.0,2100.0,2000.0,2000.0,2050.0,2100.0,2050.0,2100.0,2199.0,2200.0,2200.0,2250.0,2300.0,2200.0,2200.0,2200.0,2300.0,2350.0,2350.0,2350.0,2400.0,2500.0,2500.0,2475.0,2400.0,2325.0,2350.0,2500.0,2500.0,2400.0,2450.0,2600.0,2600.0,2665.0,2600.0,2600.0,2600.0,2600.0,2700.0,2600.0,2699.0,2900.0,2750.0,2600.0,2795.0,2795.0,2600.0,2750.0,2700.0,2700.0,2800.0,2750.0,2850.0,2800.0,2800.0,2750.0,2800.0,2950.0,3095.0,2850.0,2900.0,2900.0,2900.0,2995.0,2799.0,3000.0,2995.0,2900.0,2995.0,2900.0,2900.0
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,1700.0,1800.0,1800.0,,,,,,1750.0,1750.0,,,,,,,,,,,1800.0,1800.0,,,,,,,,,,,,,,,,,,,,,,,,1650.0,,,,,,,,,,,,,,,,,2100.0,2000.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,2696.0,2696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,1650.0,1900.0,1900.0,1600.0,1600.0,3150.0,3150.0,3150.0,3150.0,3150.0,3150.0,1650.0,1550.0,1550.0,1550.0,1550.0,2600.0,1850.0,3000.0,1775.0,1700.0,3000.0,3000.0,2950.0,1950.0,1800.0,1700.0,1850.0,1750.0,1700.0,1700.0,1700.0,1850.0,1895.0,2000.0,1750.0,1600.0,1700.0,1750.0,1700.0,1700.0,1800.0,1850.0,1850.0,1850.0,1800.0,1750.0,1800.0,1800.0,1700.0,1850.0,1850.0,1850.0,2100.0,2100.0,2400.0,2150.0,2100.0,2000.0,2200.0,1925.0,1900.0,1850.0,1900.0,1850.0,2000.0,1950.0,1950.0,1975.0,1975.0,2100.0,2100.0,2500.0,2200.0,2300.0,2000.0,2200.0,2200.0,2700.0,2500.0,2200.0,2200.0,2200.0,2200.0,2250.0,2250.0,2400.0,2350.0,2400.0,2550.0,2550.0,2150.0,2150.0,2100.0,2240.0,2108.0,2300.0,2300.0,2000.0,2300.0,2150.0,2300.0,2200.0,2400.0,2200.0,2350.0,2150.0,2100.0,2150.0,2400.0,2250.0,2150.0,2300.0,2150.0,2145.0,2200.0,2150.0,2150.0,2150.0,2175.0,2200.0,2200.0,2200.0,2200.0,2300.0,2400.0,2300.0,2250.0,2160.0,2165.0,2175.0,2150.0,2200.0,2200.0,2145.0,2100.0,2295.0,2275.0,2200.0,2200.0,2295.0,2500.0,2500.0,2560.0,2700.0,2550.0,2500.0,2500.0,2250.0,2600.0,2800.0,2600.0,2300.0,2800.0,2500.0,2500.0,2475.0,2500.0,2600.0,2500.0,2400.0,2800.0,2700.0,2700.0,2600.0,2630.0,2500.0,2500.0,2600.0,2650.0,2750.0,3500.0,3000.0,2950.0,2900.0,2800.0,2800.0,2800.0,2895.0,2850.0,2850.0,2800.0,2800.0,2800.0,2800.0,3000.0,2900.0,2900.0,3150.0,3100.0,3000.0,3000.0,2875.0,3000.0,3000.0,2950.0,2800.0,3000.0,3200.0,3000.0
Bedford Park,Bronx,neighborhood,,,,,,,,,,1225.0,1225.0,1225.0,1225.0,,1150.0,1150.0,1300.0,1325.0,1325.0,1295.0,1125.0,1095.0,1195.0,1195.0,1150.0,1075.0,1075.0,1300.0,1300.0,1295.0,1295.0,1499.0,1499.0,1499.0,1499.0,1300.0,,1395.0,1395.0,1500.0,,,,,1100.0,1250.0,1400.0,1350.0,1350.0,,1450.0,1450.0,,,1800.0,1569.0,1550.0,1550.0,1700.0,1600.0,1700.0,1700.0,1700.0,1700.0,1529.0,1529.0,1525.0,1550.0,1600.0,1600.0,1650.0,1700.0,1650.0,1600.0,1750.0,1750.0,1750.0,1800.0,1800.0,1800.0,1725.0,1725.0,1800.0,1850.0,1995.0,1850.0,1850.0,1850.0,1850.0,1850.0,1750.0,1795.0,1895.0,1770.0,1725.0,1790.0,1900.0,1790.0,1790.0,1850.0,1790.0,1769.0,1800.0,1800.0,1790.0,1795.0,1795.0,1850.0,1875.0,1875.0,1850.0,1850.0,1850.0,1850.0,1800.0,1995.0,1995.0,1895.0,1878.0,1875.0,1950.0,2150.0,2150.0,,,,1995.0,1995.0,1900.0,,1950.0,1850.0,1775.0,2100.0,2000.0,1850.0,1950.0,1925.0,2500.0,2400.0,2500.0,1950.0,1995.0,1950.0,2000.0,1925.0,2000.0,1950.0,2295.0,2200.0,2300.0,2350.0,2350.0,2300.0,2300.0,2500.0,1472.0,1472.0,1950.0,2200.0,1995.0,2250.0,2250.0,2450.0,2050.0,2200.0,2100.0,2100.0,2050.0,2395.0,1550.0,1725.0,1550.0,2500.0,2550.0,2200.0,2150.0,2000.0,1800.0,2195.0,2450.0,2350.0,2200.0,2350.0,2300.0,2300.0,2100.0,2400.0,2400.0,2400.0,2400.0,2500.0,2500.0,2495.0,2600.0,2800.0,2519.0,2519.0,2450.0,2595.0
Bedford-Stuyvesant,Brooklyn,neighborhood,1650.0,1650.0,1600.0,1650.0,1700.0,1675.0,1600.0,1600.0,1600.0,1700.0,1700.0,1700.0,1700.0,1600.0,1500.0,1500.0,1550.0,1699.0,1650.0,1700.0,1650.0,1600.0,1700.0,1675.0,1650.0,1625.0,1750.0,1850.0,1800.0,1725.0,1725.0,1749.0,1820.0,1800.0,1800.0,1975.0,1975.0,2000.0,1950.0,1950.0,2000.0,2000.0,2100.0,2200.0,2100.0,2000.0,2000.0,2000.0,1995.0,1975.0,2000.0,2000.0,2065.0,2100.0,2200.0,2200.0,2200.0,2100.0,2200.0,2200.0,2195.0,2200.0,2200.0,2200.0,2250.0,2300.0,2300.0,2399.0,2300.0,2250.0,2275.0,2250.0,2295.0,2300.0,2295.0,2395.0,2400.0,2400.0,2400.0,2400.0,2400.0,2395.0,2350.0,2311.0,2300.0,2350.0,2300.0,2300.0,2395.0,2383.0,2399.0,2400.0,2383.0,2350.0,2350.0,2300.0,2299.0,2290.0,2340.0,2399.0,2400.0,2450.0,2492.0,2500.0,2525.0,2500.0,2475.0,2498.0,2399.0,2399.0,2475.0,2450.0,2500.0,2495.0,2495.0,2550.0,2587.0,2595.0,2575.0,2499.0,2500.0,2500.0,2500.0,2550.0,2500.0,2495.0,2467.0,2400.0,2300.0,2275.0,2299.0,2200.0,2200.0,2200.0,2250.0,2250.0,2295.0,2400.0,2500.0,2500.0,2550.0,2550.0,2540.0,2634.0,2695.0,2700.0,2700.0,2800.0,2995.0,2999.0,3000.0,3000.0,3099.0,3000.0,2900.0,2900.0,2995.0,2900.0,2999.0,3000.0,3050.0,3200.0,3245.0,3100.0,3015.0,3015.0,3000.0,2995.0,3000.0,3000.0,3120.0,3199.0,3300.0,3300.0,3350.0,3290.0,3250.0,3295.0,3200.0,3100.0,3150.0,3085.0,3175.0,3299.0,3438.0,3499.0,3500.0,3400.0,3350.0,3395.0,3250.0,3275.0,3300.0,3499.0,3400.0,3450.0,3500.0,3500.0,3600.0,3650.0
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1700.0,1700.0,1700.0,1800.0,2000.0,1800.0,1950.0,2000.0,2100.0,2000.0,2000.0,1900.0,1865.0,1800.0,,,1865.0,1400.0,1700.0,1675.0,1400.0,,1850.0,1950.0,1900.0,1900.0,1950.0,1900.0,1900.0,1800.0,,1800.0,1800.0,1800.0,1850.0,2000.0,1900.0,1800.0,1800.0,1800.0,1950.0,1900.0,,1900.0,,1950.0,2000.0,2300.0,1800.0,1800.0,,,,,,,,1900.0,1900.0,,,,3000.0,,2000.0,2000.0,2000.0,1999.0,2550.0,2150.0,,,,,,2000.0,1850.0,1850.0,2300.0,2300.0,2300.0,2300.0,2195.0,,,,,,,2750.0,2200.0,2200.0,,,,,,2500.0,2500.0,1895.0,,2400.0,,2400.0,2300.0,2300.0,2200.0,,,2400.0,2400.0,,2500.0,2400.0,2800.0,2350.0,2350.0,,,,,2650.0,2615.0,,2600.0,2500.0,,,,,,2300.0,2550.0,2550.0,2600.0,2600.0,2500.0,3000.0,2600.0,,2500.0,2400.0,,,2200.0,,,,2600.0,
