display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
1188 FLATBUSH MEAT & PRODUCE INC,,1188 FLATBUSH MEAT & PRODUCE INC,1188 FLATBUSH AVENUE,11226,,,0081-23-122427,Grocery Store,0081,license,2026-08-10,2026-08-10,2029-07-31,40.64135,-73.95647,pip
1711 SHOPPING CENTER,1711 SHOPPING CENTER,1711 FOSTER CORPORATION,1711 FOSTER AVE,11230,,,0071-23-137440,Grocery Store,0071,license,2026-05-04,2026-05-04,2029-04-30,40.63517,-73.96082,pip
18th Convenience Inc.,,18th Convenience Inc.,1310 E 18th St,11230,,,0524-26-50670,Temporary retail,0524,temporary,2026-08-03,2026-08-03,2027-01-30,40.61802,-73.95712,pip
2294 MICHELLES BAR INC,,2294 MICHELLES BAR INC,2294 BEDFORD AVENUE,11226,,,0370-23-129574,Food & Beverage Business,0370,license,2026-06-26,2025-06-05,2027-05-31,40.64775,-73.95573,geoclient
24K Deli LLC,,24K Deli LLC,1057 Flatbush Ave,11226,,,0081-24-140214,Grocery Store,0081,license,2024-12-28,2024-12-28,2027-11-30,40.64504,-73.95802,pip
4 SEASON'S DELI & GROCERY,4 SEASON'S DELI & GROCERY,ALTOHAMI CORPORATION,911 913 CONEY ISLAND AVE,11230,,,0081-21-113491,Grocery Store,0081,license,2024-04-08,2024-05-01,2027-04-30,40.63519,-73.96761,geoclient
7 ELEVEN STORE #33704B,7 ELEVEN STORE #33704B,1619 AVE M RETAIL CORP,1619 AVENUE M,11230,https://www.7-eleven.com/locations/ny/brooklyn/1619-ave-m-33704,/liquor/logos/0f5daf61aa53.svg,0081-22-138229,Grocery Store,0081,license,2025-10-15,2025-12-01,2028-11-30,40.61819,-73.95838,pip
7 ELEVEN STORE 36802A,7 ELEVEN STORE 36802A,1523 AVENUE J FOODS INC,1523 AVENUE J,11230,https://www.7-eleven.com/locations/ny/brooklyn/1523-avenue-j-36802,/liquor/logos/2aa24b0c2168.svg,0081-23-103065,Grocery Store,0081,license,2026-08-24,2026-09-01,2029-08-31,40.62528,-73.96063,pip
A & K DELI AND GRILL CORP,,A & K DELI AND GRILL CORP,1839 CONEY ISLAND AVE,11230,,,0081-23-161152,Grocery Store,0081,license,2023-11-08,2023-11-08,2026-10-31,40.61241,-73.96283,geoclient
ALDI INC. (NEW YORK),,ALDI INC. (NEW YORK),1628 Flatbush Ave,11210,,,0071-25-106706,Grocery Store,0071,license,2025-04-07,2025-04-16,2026-12-31,40.63093,-73.94564,geoclient
AM THAI BISTRO,AM THAI BISTRO,THONGNGOEN INC,1003 CHURCH AVE,11218,https://www.amthaibistro.com/,/liquor/logos/341aa941872d.png,0240-21-121917,Restaurant,0240,license,2025-11-10,2025-12-01,2027-11-30,40.64668,-73.97007,pip
Applebee's Neighborhood Grill & Bar,Applebee's Neighborhood Grill & Bar,Doherty Apple NYC LLC,2201 Nostrand Ave,11210,https://restaurants.applebees.com/en-us/ny/brooklyn/2201-nostrand-ave-76035,/liquor/logos/f5614005d438.svg,0340-24-136044,Restaurant,0340,license,2024-11-14,2024-11-14,2026-10-31,40.63125,-73.94751,pip
Art of Prime,Art of Prime,KAVKAZ RESTAURANT INC,943 CONEY ISLAND AVE,11230,,,0340-22-112555,Restaurant,0340,license,2026-04-10,2026-05-01,2028-04-30,40.63446,-73.9674,pip
AVE I LIQUOR CHEN LLC,,AVE I LIQUOR CHEN LLC,2923 ave 1 Ground flr,11210,,,0100-26-147132,Liquor Store,0100,license,2026-06-26,2026-06-26,2029-05-31,40.62913,-73.94757,pip
B & S GROCERY CORP,,B & S GROCERY CORP,1805 AVENUE M,11230,,,0071-22-103662,Grocery Store,0071,license,2025-04-09,2025-05-01,2028-04-30,40.61836,-73.9569,pip
Bad Therapy LLC,,Bad Therapy LLC,1008 Cortelyou Rd,11218,https://www.badtherapybar.com,/liquor/logos/be0405c563f1.png,0370-24-139707,Food & Beverage Business,0370,license,2024-12-21,2024-12-21,2026-11-30,40.63938,-73.9685,geoclient
BAKAR,BAKAR,BAKAR ON CONEY LLC,1385 CONEY ISLAND AVE,11230,,,0340-23-135924,Restaurant,0340,license,2024-11-07,2025-01-01,2026-12-31,40.62376,-73.96498,geoclient
BASHA MINI MARKET CORP.,,BASHA MINI MARKET CORP.,1067 Flatbush Ave,11226,,,0071-25-109211,Grocery Store,0071,license,2025-05-06,2025-05-06,2028-04-30,40.64477,-73.958,pip
BERRY GOODS SUPERMARKET CORP,,BERRY GOODS SUPERMARKET CORP,1413 AVENUE J,11230,,,0081-23-103240,Grocery Store,0081,license,2025-12-15,2026-02-01,2029-01-31,40.62514,-73.96181,pip
