display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
124 UNION STOP 1 FOOD MART INC,,124 UNION STOP 1 FOOD MART INC,124 UNION ST,11231,,,0081-21-112076,Grocery Store,0081,license,2024-06-26,2024-08-01,2027-07-31,40.68422,-74.00244,pip
129 MONEY MARKET & GRILL CORP,,129 MONEY MARKET & GRILL CORP,129 DWIGHT ST STORE #2,11231,,,0081-22-139317,Grocery Store,0081,license,2025-10-29,2025-12-01,2028-11-30,40.67515,-74.01009,pip
144 Social Club LLC,,144 Social Club LLC,144 Union St,11231,,,0370-26-147988,Food & Beverage Business,0370,license,2026-07-07,2026-07-07,2028-06-30,40.68404,-74.00177,pip
156 EXPRESS GROCERY,156 EXPRESS GROCERY,ANIS M MUNASER,156 UNION STREET,11231,,,0081-23-108933,Grocery Store,0081,license,2026-05-13,2026-07-01,2029-06-30,40.68387,-74.00115,pip
215 FINEST DELI & GRILL CORP,,215 FINEST DELI & GRILL CORP,215 4TH AVE,11215,,,0081-22-124902,Grocery Store,0081,license,2025-08-18,2025-10-01,2028-09-30,40.67726,-73.98306,pip
390 SOCIAL,390 SOCIAL,390 SOCIAL CORP,390 5TH AVE,11215,https://www.390social.com,logos/bd2365b6b95f.png,0370-24-122909,Food & Beverage Business,0370,license,2026-07-27,2026-08-01,2028-07-31,40.67079,-73.98496,pip
396 DELI GROCERY INC,,396 DELI GROCERY INC,396 7TH AVENUE,11215,,,0071-21-118977,Grocery Store,0071,license,2024-08-20,2024-10-01,2027-09-30,40.66493,-73.9832,pip
482 COURT CAFE INC,,482 COURT CAFE INC,482 COURT STREET,11231,,,0370-24-116105,Food & Beverage Business,0370,license,2026-06-01,2026-06-01,2028-05-31,40.67739,-73.99828,pip
4th AVE MARKET AND DELI CORP,,4th AVE MARKET AND DELI CORP,514 4th Ave,11215,,,0081-26-144277,Grocery Store,0081,license,2026-05-28,2026-05-28,2029-04-30,40.66767,-73.99102,pip
4TH AVENUE CONVENIENCE INC.,,4TH AVENUE CONVENIENCE INC.,246 11TH ST,11215,,,0081-23-162308,Grocery Store,0081,license,2023-11-22,2023-11-22,2026-10-31,40.66905,-73.98955,pip
501 UNION,501 UNION,499 UNION LLC,499 UNION ST,11231,https://www.501union.com,logos/5a13411643c3.png,0346-22-115996,Catering Establishment,0346,license,2026-06-09,2026-07-01,2028-06-30,40.67975,-73.98907,pip
520 HS BK LLC,,520 HS BK LLC,520 Henry St,11231,,,0340-26-148833,Restaurant,0340,license,2026-07-16,2026-07-16,2028-06-30,40.68337,-73.99977,pip
532 FOURTH AVENUE GROCERY DELI CORP,532 FOURTH AVENUE GROCERY DELI CORP,532 FOURTH AVENUE GROCERY DELI CORP,532 4TH AVENUE,11215,,,0081-22-127346,Grocery Store,0081,license,2025-09-17,2025-10-01,2028-09-30,40.6672,-73.9914,geoclient
532 Restaurant Inc,,532 Restaurant Inc,532 Court St,11231,,,0340-25-102280,Restaurant,0340,license,2025-02-05,2025-02-05,2027-01-31,40.67559,-73.99915,pip
538 3rd Ave Gas Station Inc.,,538 3rd Ave Gas Station Inc.,538 3rd Ave,11215,,,0524-26-47863,Temporary retail,0524,temporary,2026-07-06,2026-07-06,2027-01-02,40.66889,-73.99315,pip
5TH AVE GOURMET DELIGHT,5TH AVE GOURMET DELIGHT,WY FOOD CORP,270 5TH AVENUE,11215,,,0071-26-138309,Grocery Store,0071,license,2026-03-23,2026-03-23,2028-10-31,40.67451,-73.98186,pip
5TH AVE GOURMET DELIGHT,5TH AVE GOURMET DELIGHT,WY FOOD CORP,270 5TH AVENUE,11215,,,0081-26-144602,Grocery Store,0081,license,2026-05-31,2026-05-31,2028-10-31,40.67451,-73.98186,pip
5TH AVE MARKET,5TH AVE MARKET,MARKET ON 5TH INC,185 5TH AVE,11217,http://5thavenuemarketgourmetdeli.com,,0081-22-122899,Grocery Store,0081,license,2025-08-04,2025-09-01,2028-08-31,40.67714,-73.97993,pip
6,6,6 Restaurant Group LLC,481 Court St,11231,,,0240-25-104764,Restaurant,0240,license,2025-03-11,2025-03-11,2027-02-28,40.6764,-73.99876,pip
7 AVE GOURMET INC,,7 AVE GOURMET INC,75 7TH AVE,11217,,,0081-23-122664,Grocery Store,0081,license,2026-01-02,2026-02-01,2029-01-31,40.675,-73.9751,pip
7 ELEVEN STORE #34051B,7 ELEVEN STORE #34051B,520 FIFTH AVENUE FOODS INC,520 5TH AVE,11215,,,0081-20-105823,Grocery Store,0081,license,2024-01-09,2024-02-01,2027-01-31,40.66661,-73.98843,pip
7TH AVENUE DONUTS,7TH AVENUE DONUTS,324 DONUTS INC,324 7TH AVENUE,11215,https://7thavedonuts.com/,,0240-22-102350,Restaurant,0240,license,2026-07-22,2026-08-01,2028-07-31,40.66718,-73.98133,pip
A & M FAMILY STORE CORP,,A & M FAMILY STORE CORP,421 COLUMBIA ST,11231,,,0081-23-112488,Grocery Store,0081,license,2023-09-14,2023-11-01,2026-10-31,40.67776,-74.00618,pip
A R DELI COFFEE SHOP INC,,A R DELI COFFEE SHOP INC,29 31 5TH AVE,11217,,,0081-20-108117,Grocery Store,0081,license,2023-10-23,2023-11-01,2026-10-31,40.68202,-73.97666,pip
ABILENE'S,ABILENE'S,LEAHLALA LLC,442 446 COURT ST,11231,,,0370-21-118052,Food & Beverage Business,0370,license,2025-11-18,2026-01-01,2027-12-31,40.6788,-73.99762,pip
AD CATERING + EVENTS/ MAISON GREY/ BLOOM & TONIC,AD CATERING + EVENTS/ MAISON GREY/ BLOOM & TONIC,BAB FOOD LLC,34 VAN DYKE ST,11231,,,0346-23-124336,Catering Establishment,0346,license,2025-04-29,2025-05-01,2027-04-30,40.67377,-74.01193,pip
Al Dente Fresh Pasta,Al Dente Fresh Pasta,Jedola Dan LLC,375B 5th Ave,11215,,,0240-25-107941,Restaurant,0240,license,2025-04-23,2025-04-23,2027-03-31,40.67116,-73.98466,pip
AL DI LA RESTAURANT,AL DI LA RESTAURANT,JELA LLC,248 5TH AVE,11215,https://www.aldilatrattoria.com/,logos/0502d999d159.png,0340-23-138406,Restaurant,0340,license,2025-06-25,2025-07-01,2027-06-30,40.67524,-73.98126,pip
Alma,Alma,Chula Vista Inc.,187 Columbia St,11231,https://www.almabk.com,logos/567885471076.png,0340-24-139674,Restaurant,0340,license,2024-12-20,2024-12-20,2026-11-30,40.68563,-74.00243,pip
ALMA NEGRA,ALMA NEGRA,YOLOTL CORP,494 4TH AVE,11215,https://almanegranyc.com,logos/1fb7817d36a5.png,0340-23-136046,Restaurant,0340,license,2025-02-25,2025-03-01,2027-02-28,40.66866,-73.9902,pip
AMARO SPIRITS & WINE,AMARO SPIRITS & WINE,DIGESTEVE GASTRONOMIC SPIRITS & WINE LLC,211 7TH AVE,11215,,,0100-21-113931,Liquor Store,0100,license,2024-07-23,2024-08-01,2027-07-31,40.67024,-73.97876,pip
Andamiro,Andamiro,225 Hospitality LLC,276 5th Ave,11215,,,0240-26-142956,Restaurant,0240,license,2026-05-13,2026-05-13,2028-04-30,40.67431,-73.98202,pip
ANGELS' SHARE WINE IMPORTS LLC,,ANGELS' SHARE WINE IMPORTS LLC,106 FERRIS ST,11231,,,0009-22-117739,Wholesale Liquor,0009,license,2025-08-05,2025-10-01,2028-09-30,40.6778,-74.0173,pip
Antojitos BK1 Bar Corporation,,Antojitos BK1 Bar Corporation,224 4th Ave,11215,,,0340-26-136949,Restaurant,0340,license,2026-03-06,2026-03-06,2028-02-29,40.67732,-73.98319,pip
Apapacho,Apapacho,ENL CONFIANZA LLC,191 5th Ave,11217,,,0524-26-50368,Temporary retail,0524,temporary,2026-07-30,2026-07-30,2027-01-26,40.67683,-73.98013,pip
AROMI,AROMI,ALAS GROUP LLC,552 COURT ST,11231,,,0340-22-105537,Restaurant,0340,license,2026-03-02,2026-04-01,2028-03-31,40.67495,-73.99946,pip
Art Collective Café,Art Collective Café,"Art Collective Cafe, LLC",97A 7th Ave,11215,https://artcollectivecafe.com,logos/8a82978d6c44.png,0267-24-125646,Food & Beverage Business,0267,license,2026-08-13,2026-08-13,2028-07-31,40.67427,-73.97558,pip
ARTICHOKE PARK SLOPE LLC,,ARTICHOKE PARK SLOPE LLC,59 5TH AVE,11217,,,0340-23-128166,Restaurant,0340,license,2025-05-14,2025-05-14,2027-04-30,40.68101,-73.97734,pip
ASSOCIATES SUPERMARKET,ASSOCIATES SUPERMARKET,MP LORRAINE CORP,58 60 LORRAINE ST,11231,,,0081-22-126905,Grocery Store,0081,license,2025-01-08,2025-02-01,2028-01-31,40.67447,-74.00727,pip
ATHENA MEDITERRANEAN CUISINE,ATHENA MEDITERRANEAN CUISINE,ATHENA RESTAURANT SAAH INC,535 6TH AVE,11215,,,0240-23-141718,Restaurant,0240,license,2025-01-30,2025-02-01,2027-01-31,40.66483,-73.98662,geoclient
AUTHENTIC SZECHUAN,AUTHENTIC SZECHUAN,TOFU OF FIFTH AVENUE INC,384 5TH AVE,11215,,,0240-23-139724,Restaurant,0240,license,2025-07-21,2025-09-01,2027-08-31,40.67105,-73.98475,pip
AVLEE,AVLEE,FILI PANDA INC,349 SMITH ST,11231,https://avleegreekkitchen.com,,0240-21-122681,Restaurant,0240,license,2025-11-14,2026-01-01,2027-12-31,40.67995,-73.99504,pip
BABA'S PIEROGIES,BABA'S PIEROGIES,BABA'S PIEROGIES INC.,295 3RD AVE,11215,https://www.babasbk.com,logos/e12f70500876.png,0240-21-121842,Restaurant,0240,license,2025-10-22,2025-10-22,2027-09-30,40.67692,-73.98643,pip
BACICCIA RISTORANTE,BACICCIA RISTORANTE,LIGURIAN BROS INCORPORATED,426A 7TH AVE,11215,,,0340-23-139248,Restaurant,0340,license,2025-08-11,2025-10-01,2027-09-30,40.6637,-73.98423,geoclient
Badshah,Badshah,AR4 BK Inc,212 Flatbush Ave,11217,https://www.badshahny.com/,logos/b295da5734eb.png,0340-26-148762,Restaurant,0340,license,2026-07-15,2026-07-15,2028-06-30,40.68126,-73.97542,geoclient
BAGEL HOLE OF PARK SLOPE,BAGEL HOLE OF PARK SLOPE,BAGEL HOLE INC,400 7TH AVENUE,11215,,,0071-23-131348,Grocery Store,0071,license,2026-04-30,2026-04-30,2029-03-31,40.66476,-73.98335,pip
BANGKOK DEGREE INC,,BANGKOK DEGREE INC,847 UNION ST,11215,https://bangkokdegree.com,logos/10e463948999.png,0340-22-115484,Restaurant,0340,license,2026-02-13,2026-04-01,2028-03-31,40.6746,-73.97582,pip
BAR BASIC,BAR BASIC,B & D RESTAURANT GROUP INC,71 7TH AVE,11217,https://barbasicnyc.square.site,logos/a000b2d31113.png,0340-21-116561,Restaurant,0340,license,2025-10-31,2025-12-01,2027-11-30,40.67525,-73.97493,pip
BAR BETE LLC,,BAR BETE LLC,263 SMITH ST,11231,https://www.barbete.com,logos/7ab44d82ab0d.png,0340-21-120781,Restaurant,0340,license,2025-11-17,2025-11-17,2027-10-31,40.683,-73.99298,pip
Bar Ferdinando,Bar Ferdinando,Bar Ferdinando LLC,151 Union St,11231,https://www.barferdinando.com,logos/0d05df9ab5bc.png,0370-26-136013,Food & Beverage Business,0370,license,2026-02-23,2026-02-23,2028-01-31,40.68408,-74.00191,pip
BAR GOTO NIBAN,BAR GOTO NIBAN,LIQUID SAMURAI II LLC,474 BERGEN ST,11217,https://www.bargoto.com,logos/e1e47ad5e02b.png,0370-23-159656,Food & Beverage Business,0370,license,2025-10-23,2025-11-01,2027-10-31,40.68091,-73.97555,geoclient
BAR GREAT HARRY LLC,,BAR GREAT HARRY LLC,280 SMITH STREET,11231,,,0370-23-132762,Food & Beverage Business,0370,license,2025-06-30,2025-08-01,2027-07-31,40.68237,-73.99343,pip
