display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,BROOKLYN FOOD&ARTS LLC&GREAT PERFORMANCES/ARTISTS,200 EASTERN PKW,11238,,,0423-23-135988,Additional Bar,0423,license,2025-10-31,2025-11-01,2027-10-31,40.67183,-73.96347,geoclient
AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,BROOKLYN FOOD&ARTS LLC&GREAT PERFORMANCES/ARTISTS,200 EASTERN PKW,11238,,,0423-23-128241,Additional Bar,0423,license,2025-10-09,2025-11-01,2027-10-31,40.67183,-73.96347,geoclient
AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,BROOKLYN FOOD&ARTS LLC&GREAT PERFORMANCES/ARTISTS,200 EASTERN PKW,11238,,,0423-23-135989,Additional Bar,0423,license,2025-10-31,2025-11-01,2027-10-31,40.67183,-73.96347,geoclient
AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,AS WAITRESS INC & BROOKLYN MUSEUM DBA THE NORM,BROOKLYN FOOD&ARTS LLC&GREAT PERFORMANCES/ARTISTS,200 EASTERN PKW,11238,,,0340-23-139032,Restaurant,0340,license,2025-11-25,2025-11-01,2027-10-31,40.67183,-73.96347,geoclient
BROOKLYN FLEA DC LLC,,BROOKLYN FLEA DC LLC,153 EAST DR,11225,,,0371-23-132359,Summer Food & beverage business,0371,license,2026-03-24,2026-04-01,2026-10-31,40.65952,-73.96357,geoclient
Duck Island NYC LLC,Duck Island NYC LLC,Duck Island NYC LLC,171 East Dr,11225,,,0340-25-130914,Restaurant,0340,license,2025-12-04,2025-12-04,2027-11-30,40.65751,-73.96294,geoclient
PURSLANE BOATHOUSE LLC,,PURSLANE BOATHOUSE LLC,101 EAST DR,11225,,,0346-23-124070,Catering Establishment,0346,license,2025-05-20,2025-06-01,2027-05-31,40.6556,-73.96322,geoclient
PURSLANE BOATHOUSE LLC,,PURSLANE BOATHOUSE LLC,101 EAST DR,11225,,,0370-25-114161,Food & Beverage Business,0370,license,2025-06-16,2025-06-16,2027-05-31,40.6556,-73.96322,geoclient
WINNER,WINNER,WINNER IN THE PARK LLC,40 WEST DR,11215,,,0267-22-111642,Food & Beverage Business,0267,license,2024-11-26,2024-12-01,2026-11-30,40.66648,-73.97221,geoclient
Yellow Magnolia Cafe - Add Bar,Yellow Magnolia Cafe - Add Bar,RESTAURANT ASSOCIATES LLC & HUDSON YARDS CATERING,990 1000 WASHINGTON AVE,11225,,,0340-23-165112-01,Additional Bar,0423,license,2025-11-28,2025-12-01,2027-11-30,40.66761,-73.96179,geoclient
Yellow Magnolia Cafe - Add Bar,Yellow Magnolia Cafe - Add Bar,RESTAURANT ASSOCIATES LLC & HUDSON YARDS CATERING,990 1000 WASHINGTON AVE,11225,,,0340-23-165112,Restaurant,0340,license,2025-11-28,2025-12-01,2027-11-30,40.66761,-73.96179,geoclient
